id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
4bc7d59e-5acc-568e-941f-b5b4bfa09b5c,,,"Cơm, nấu chín (Rice, Cooked)",DISH,130.0,2.69,0.28,28.2,0.4,0.05,1.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Cơm nấu chín là loại ngũ cốc chủ yếu đóng vai trò là nguồn năng lượng chính do hàm lượng carbohydrate cao, được tiêu thụ trên toàn cầu trong các truyền thống ẩm thực khác nhau. Kết cấu từ dẻo đến mềm tùy thuộc vào giống và phương pháp chế biến, gạo lứt vẫn giữ lại lớp cám để cung cấp nhiều chất xơ và chất dinh dưỡng hơn gạo trắng đánh bóng. Loại ngũ cốc không chứa gluten này có khối lượng tăng gấp ba lần khi nấu chín và yêu cầu nhận thức về khẩu phần do mật độ calo của nó ở dạng chế biến sẵn.",75
5834f785-5a93-58d2-9dc0-e00003f22edf,,,Gạo trắng (White Rice),INGREDIENT,81.48,1.72,0.19,18.25,0.26,0.03,3.97,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Cơm trắng phục vụ tại quán poke thường là loại gạo sushi được trộn với giấm gạo, đường và muối để tạo hương vị ngọt ngào thoang thoảng. Loại gạo được chế biến đặc biệt này đóng vai trò là lớp nền truyền thống cho các bát poke, mang đến kết cấu dẻo nhưng mịn, kết hợp hoàn hảo với cá tươi và lớp phủ bên trên. Một khẩu phần tiêu chuẩn gồm 1,5 cốc cung cấp khoảng 51 gam carbohydrate và đóng vai trò là nguồn năng lượng chính trong bát chọc.",75
6bd56093-4d94-5182-87fa-538b13949e53,,,Gạo trắng tăng cường (Enriched White Rice),INGREDIENT,374.0,7.51,1.03,80.9,1.8,0.33,2.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Gạo trắng giàu dinh dưỡng là loại ngũ cốc xay đã được đánh bóng để loại bỏ cám và mầm, sau đó được bổ sung sắt, thiamine và axit folic để phục hồi các chất dinh dưỡng bị mất trong quá trình chế biến. Mặc dù ít chất xơ hơn gạo lứt nhưng loại ngũ cốc tinh chế này nấu thành những hạt mềm, mịn với hương vị trung tính, dễ hấp thụ gia vị và nước sốt. Quá trình làm giàu làm cho nó trở thành nguồn cung cấp sắt và vitamin B đáng kể so với gạo trắng không được tăng cường, mặc dù nó vẫn có hàm lượng chất dinh dưỡng tự nhiên thấp hơn so với các loại ngũ cốc nguyên hạt.",75
d0ee056e-6159-5381-abae-b77264bdff8f,,,Gạo trắng hạt dài (Long Grain White Rice),INGREDIENT,365.0,7.13,0.66,80.0,1.3,0.12,5.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Gạo trắng hạt dài là loại ngũ cốc được xay xát có đặc điểm là hạt thon dài, tách rời và bông xốp khi nấu chín. Quá trình đánh bóng loại bỏ cám và mầm, dẫn đến hàm lượng chất xơ thấp hơn so với gạo lứt, mặc dù nhiều loại gạo thương mại được bổ sung sắt và vitamin B. Là một món ăn chủ yếu đa năng trong ẩm thực toàn cầu, nó đóng vai trò là nguồn carbohydrate chính và không chứa gluten tự nhiên, khiến nó phù hợp với nhiều nhu cầu ăn kiêng khác nhau.",75
efc0fbbd-9275-5bb2-b34d-c228534dd92d,,,Gạo trắng hạt vừa (Medium Grain White Rice),INGREDIENT,360.0,6.61,0.58,79.3,1.4,0.12,1.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Gạo trắng hạt vừa là loại gạo được đánh bóng có đặc điểm là hạt ngắn hơn, căng hơn, mềm và hơi dính khi nấu chín. Phiên bản giàu dinh dưỡng này đã được bổ sung sắt và vitamin B để thay thế các chất dinh dưỡng bị mất trong quá trình xay xát, loại bỏ cám và mầm. Hàm lượng tinh bột cân bằng khiến nó trở nên lý tưởng cho các món ăn yêu cầu kết cấu kết dính như risotto, sushi hoặc bánh pudding gạo, đồng thời cung cấp nguồn carbohydrate tiêu hóa nhanh cho nhu cầu năng lượng ngay lập tức.",75
833217ea-292f-5a23-85bf-075f2d910234,,,Bột yến mạch (Oatmeal),INGREDIENT,382.0,13.5,5.9,68.7,10.0,1.03,2.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Bột yến mạch là một loại ngũ cốc nguyên hạt được làm từ những tấm yến mạch khô, được chế biến tối thiểu, thường được bán dưới dạng yến mạch cán hoặc cắt thép. Nó nổi tiếng với hàm lượng chất xơ hòa tan cao - đặc biệt là beta-glucan, hỗ trợ sức khỏe tim mạch - và cung cấp năng lượng bền vững thông qua carbohydrate phức tạp. Mặc dù không chứa gluten tự nhiên, nhưng nguy cơ lây nhiễm chéo cần được xác minh đối với những người nhạy cảm và đặc tính hương vị trung tính của nó cho phép sử dụng linh hoạt trong cả các chế phẩm ngọt và mặn khi nấu với chất lỏng.",75
1e7ff27e-b4ff-58ae-bd35-40e43d6be539,,,Yến mạch nấu nhanh (Quick Oats),INGREDIENT,371.0,14.0,7.0,68.0,9.0,1.0,3.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Yến mạch nhanh là loại yến mạch nguyên hạt được chế biến tối thiểu, được hấp trước, cán mỏng và sấy khô để giảm đáng kể thời gian nấu. Mặc dù cung cấp chất xơ hòa tan có lợi cho tim (beta-glucan) giống như yến mạch cắt thép hoặc cán mỏng, cấu trúc dẹt của chúng cho phép chúng mềm nhanh trong nước nóng hoặc sữa, khiến chúng trở nên lý tưởng để nấu cháo hoặc nướng nhanh. Những loại yến mạch này giữ lại hầu hết các chất dinh dưỡng từ yến mạch nhưng có kết cấu mềm hơn so với các loại yến mạch ít được chế biến hơn.",75
aaa1a598-f2d9-51de-ad6c-ea04a9a41661,,,"Bột yến mạch, nấu chín (Oatmeal, Cooked)",DISH,89.39,3.0,2.9,11.4,2.9,0.3,1.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Bột yến mạch, nấu chín, là một loại cháo nguyên hạt được làm bằng cách đun sôi yến mạch cán hoặc cắt thép trong nước hoặc sữa cho đến khi mềm. Món ăn sáng thịnh soạn này cung cấp đáng kể chất xơ hòa tan, đặc biệt là beta-glucan, hỗ trợ sức khỏe tim mạch bằng cách giúp giảm sự hấp thụ cholesterol. Các loại ngũ cốc đã nấu chín có kết cấu dạng kem, dùng làm lớp nền trung tính cho cả lớp phủ ngọt như trái cây và các loại hạt hoặc các món bổ sung mặn như trứng và gia vị. Mặc dù không chứa gluten tự nhiên nhưng có thể xảy ra hiện tượng nhiễm chéo trong quá trình chế biến và tác động đến đường huyết khác nhau tùy thuộc vào việc sử dụng yến mạch ăn liền, yến mạch cán hay yến mạch cắt thép.",75
c4262c93-fe3a-5edf-8938-4fa484f22758,,,Gạo lài (Jasmine Rice),INGREDIENT,383.0,7.2,0.66,86.0,1.2,0.1,1.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Gạo Jasmine là loại gạo hạt dài có mùi thơm được trồng truyền thống ở Thái Lan, được biết đến với mùi hương hoa tinh tế gợi nhớ đến lá dứa hoặc bỏng ngô nướng. Khi nấu chín, các hạt trở nên hơi dính nhưng vẫn giữ được sự tách biệt rõ rệt, mang lại kết cấu mềm hơn gạo basmati trong khi vẫn giữ được hương vị trung tính lý tưởng để chấm nước sốt. Loại lương thực không chứa gluten này có chỉ số đường huyết cao hơn các loại gạo lứt và là nền tảng của ẩm thực Đông Nam Á, đặc biệt kết hợp với cà ri, món xào và thịt nướng.",75
3c053952-194a-5cee-a709-9b7daef5135f,,,Bột mì trắng tăng cường (Enriched White Flour),INGREDIENT,360.0,10.0,1.0,76.0,2.7,0.3,2.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Bột mì trắng giàu dinh dưỡng là một sản phẩm lúa mì tinh chế, trong đó cám và mầm được loại bỏ trong quá trình xay xát, sau đó được bổ sung sắt và vitamin B để thay thế một số chất dinh dưỡng bị mất. Mặc dù quá trình này tạo ra loại bột có kết cấu mịn lý tưởng cho các món nướng nhẹ như bánh ngọt và bánh nướng, nhưng nó chứa ít chất xơ và chất dinh dưỡng tự nhiên hơn đáng kể so với bột mì nguyên hạt. Quá trình làm giàu sẽ phục hồi các vitamin cơ bản nhưng không bù đắp hoàn toàn lượng dinh dưỡng bị mất đi do loại bỏ các thành phần ban đầu của lúa mì.",75
ae8e711e-ac06-5db7-bce3-d6e7929eb9cf,,,Ngũ cốc yến mạch (Oat Cereal),DISH,382.0,10.95,5.09,75.33,9.2,3.02,503.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Ngũ cốc yến mạch là một món ăn sáng chủ yếu làm từ ngũ cốc nguyên hạt được làm từ yến mạch đã qua chế biến, thường được cán hoặc cắt thép để tạo ra các kết cấu khác nhau từ dạng kem đến dạng dai. Nó đặc biệt có giá trị nhờ hàm lượng chất xơ hòa tan cao, chủ yếu là beta-glucan, chất mà các nghiên cứu lâm sàng liên quan đến việc cải thiện mức cholesterol và điều chỉnh lượng đường trong máu. Không giống như nhiều loại ngũ cốc tinh chế, các loại yến mạch đơn giản không chứa đường bổ sung và duy trì chỉ số đường huyết thấp, trong khi các lựa chọn không chứa gluten đã được chứng nhận phù hợp với các hạn chế về chế độ ăn uống. Món ăn đa năng này có thể được chế biến nóng như cháo hoặc dùng lạnh trong muesli, thường kết hợp với trái cây, các loại hạt hoặc sữa chua để cân bằng dinh dưỡng.",75
2f27eb9c-3fa8-5f5f-a2b1-2134cdadd8f6,,,Gạo trắng Calrose (Calrose White Rice),INGREDIENT,362.0,6.7,0.0,80.0,1.0,0.0,0.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Gạo trắng Calrose là loại gạo hạt vừa được phát triển ở California, có đặc điểm là có khả năng mềm và hơi dính khi nấu bằng phương pháp hấp thụ. Loại gạo giàu dinh dưỡng này đã được bổ sung sắt và vitamin B để thay thế các chất dinh dưỡng bị mất trong quá trình xay xát, đóng vai trò là nguồn carbohydrate chính trong các món ăn như sushi, bát chọc và món xào. Các hạt đầy đặn của nó duy trì kết cấu gắn kết lý tưởng cho các món ăn đúc sẵn trong khi vẫn không chứa gluten tự nhiên.",75
