id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
d32ee943-b069-5616-bd05-c0c58d3dda90,,,"Cà phê, với sữa (Coffee, With Milk)",INGREDIENT,9.0,0.41,0.41,0.6,0.0,0.6,11.0,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Cà phê sữa là đồ uống phổ biến trên toàn cầu kết hợp cà phê pha với sữa để cân bằng độ chua, vị đắng đồng thời tăng thêm vị kem. Thành phần dinh dưỡng thay đổi đáng kể tùy theo loại sữa, với các phiên bản sữa cung cấp protein và canxi, trong khi các sản phẩm thay thế từ thực vật như sữa yến mạch hoặc sữa hạnh nhân cung cấp các lựa chọn không chứa lactose. Việc pha chế này tạo cơ sở cho các loại đồ uống từ café au lait thông thường đến latte làm từ espresso, với hàm lượng calo bị ảnh hưởng trực tiếp bởi tỷ lệ chất béo sữa và chất làm ngọt được thêm vào.",75
d27f4dc6-1ce9-55ac-a618-b99952b6a82e,,,Cà phê hòa tan (Instant Coffee),INGREDIENT,2.0,0.1,0.0,0.34,0.0,0.0,4.0,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Cà phê hòa tan là một dạng cà phê pha đã khử nước được tạo ra thông qua quá trình đông khô hoặc sấy phun, được thiết kế để hòa tan nhanh chóng trong nước. Trong khi vẫn giữ mức caffeine tương đương với cà phê mới pha, quá trình xử lý của nó làm giảm các hợp chất thơm dễ bay hơi, dẫn đến vị đắng đậm đặc hơn và hương vị ít sắc thái hơn. Định dạng ổn định trên kệ này cung cấp nguồn caffeine có hàm lượng calo thấp (khi tiêu thụ mà không có chất phụ gia) và được ưa chuộng vì sự tiện lợi của nó trong đồ uống, làm bánh và cung cấp thực phẩm khẩn cấp.",75
8be74f8d-8d44-5ee5-bf3a-9a03986611d2,,,Cà phê (Coffee),DISH,0.84,0.13,0.0,0.0,0.0,0.0,2.11,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Cà phê ở cửa hàng bánh rán là đồ uống nóng mới pha thường được phục vụ với kích thước nhỏ, vừa hoặc lớn với các tùy chọn tùy chỉnh. Cà phê đen đơn giản hầu như không chứa calo và cung cấp khoảng 100-200mg caffeine mỗi khẩu phần, mặc dù các chất bổ sung như kem, đường hoặc xi-rô có hương vị làm thay đổi đáng kể thành phần dinh dưỡng của nó. Loại cà phê kiểu nhà hàng này thường được pha từ hạt Arabica và phục vụ suốt cả ngày, với các lựa chọn cho cả chế biến nóng và lạnh.",75
530df82b-9bde-5271-9b72-9ed956222f0f,,,Bia (Beer),DISH,40.0,0.41,0.0,3.0,0.0,0.0,4.5,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Bia là một loại đồ uống có cồn được sản xuất bằng cách lên men các loại ngũ cốc mạch nha—thường là lúa mạch—với nước, hoa bia và men. Đồ uống có ga này có phạm vi từ bia nhẹ đến bia đen mạnh, với nồng độ cồn thường từ 4-10% ABV và lượng calo chủ yếu có nguồn gốc từ carbohydrate và ethanol. Trong khi các loại bia truyền thống có chứa gluten từ lúa mạch hoặc lúa mì, các loại bia không chứa gluten hiện đang sử dụng các loại ngũ cốc thay thế như lúa miến hoặc gạo.",75
7961c5e9-f007-5819-abcb-feacd6ef12dc,,,Dưa hấu (Watermelon),INGREDIENT,31.3,0.66,0.1,7.73,0.43,6.73,2.93,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Dưa hấu là loại trái cây mùa hè có đặc tính dưỡng ẩm nhờ thịt đỏ giòn, mọng nước và vỏ dày màu xanh. Bao gồm hơn 90% nước, nó cung cấp chất điện giải tự nhiên và đặc biệt ít calo đồng thời cung cấp đáng kể vitamin C và lycopene – một chất chống oxy hóa cũng có trong cà chua. Thường được thưởng thức sống ở dạng lát hoặc khối, loại dưa ngọt này chứa cả loại có hạt và không hạt, đồng thời vừa là một món ăn nhẹ sảng khoái vừa là chất hỗ trợ hydrat hóa tự nhiên.",75
3b8e232e-443b-5bd8-a604-bec196424971,,,Cà phê đá có đường (Sweetened Iced Coffee Drink),DISH,71.0,1.98,1.38,12.6,0.0,10.7,26.0,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Đồ uống cà phê đá ngọt là đồ uống pha sẵn kết hợp cà phê pha với đường bổ sung, thường được tăng cường với sữa hoặc kem để có kết cấu mịn. Những đồ uống được pha chế thương mại này thường chứa nhiều đường và calo hơn đáng kể so với cà phê pha không đường, đồng thời cung cấp lượng caffeine tương đương với khẩu phần cà phê nóng tiêu chuẩn. Được thiết kế để thuận tiện, chúng cân bằng vị đắng của cà phê với vị ngọt rõ rệt nhưng thiếu khả năng tùy chỉnh và kiểm soát dinh dưỡng như các phiên bản tự làm.",75
01ff2965-1753-57bf-8dd0-53fa85e60585,,,"Soda cam thường (Orange Soda, Regular)",INGREDIENT,48.0,0.0,0.0,12.3,0.0,12.3,12.0,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Soda cam là một loại nước ngọt có ga có hương vị tinh chất cam nhân tạo và được làm ngọt bằng xi-rô ngô hoặc đường có hàm lượng fructose cao. Không giống như nước cam tươi, nó không cung cấp vitamin hoặc chất xơ, lấy gần như toàn bộ lượng calo từ đường bổ sung. Hương vị cam quýt tươi sáng đến từ các hợp chất hương vị tổng hợp chứ không phải trái cây thật và hầu hết các loại thương mại đều không chứa caffeine nhưng có thể chứa chất bảo quản hoặc màu thực phẩm.",75
d74ff99c-3df3-5a0d-bc30-ec50621893d0,,,Trà Earl Grey (Earl Grey Tea),DISH,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Earl Grey là một loại trà đen có hương vị được phân biệt bằng cách truyền dầu cam bergamot đặc trưng của nó, mang lại hương thơm cam quýt tươi sáng và hương vị hoa cam quýt. Đồ uống chứa caffein này chứa khoảng một nửa lượng caffeine của cà phê mỗi cốc khi ngâm trong nước nóng trong 3-5 phút và nó vẫn không chứa calo một cách tự nhiên trừ khi thêm chất làm ngọt. Đặc tính đặc biệt của trà đến từ dầu vỏ cam bergamot ép lạnh, giúp tăng cường đặc tính chống oxy hóa có nguồn gốc từ trà đen.",75
4f4206b2-18dc-5d07-84e0-189a7f20bcaf,,,Trà đen đã khử caffeine (Decaffeinated Black Tea),DISH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Trà đen đã khử caffein là một biến thể chế biến của trà đen truyền thống, loại bỏ 97-99% caffeine trong khi vẫn giữ được chất chống oxy hóa đặc trưng và hương vị mạch nha. Được làm từ lá của cây Camellia sinensis, nó trải qua các phương pháp như CO2 hoặc khử caffein bằng nước để bảo toàn hàm lượng polyphenol và hương vị đậm đà. Tùy chọn giảm lượng caffeine này cung cấp sự lựa chọn đồ uống làm ấm cho người tiêu dùng vào buổi tối hoặc những người nhạy cảm với caffeine, duy trì các lợi ích về tim mạch liên quan đến hợp chất trà đen.",75
7198e4dc-89b0-5a2f-9e96-90ecd4eff7ed,,,Sinh tố sữa có đường (Sweetened Dairy Smoothie),DISH,120.0,3.0,3.5,18.0,1.5,16.0,60.0,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Sinh tố sữa có đường là một loại đồ uống pha trộn kết hợp sữa hoặc sữa chua với trái cây, hương liệu và đường bổ sung như mật ong, xi-rô hoặc nước trái cây có đường. Trong khi cung cấp canxi và protein từ nguồn sữa, hàm lượng carbohydrate của nó được tăng lên đáng kể nhờ các chất làm ngọt có chủ ý, giúp phân biệt nó với các loại sinh tố không đường. Những đồ uống này thường dùng để thay thế bữa ăn hoặc đồ ăn nhẹ, có kết cấu dạng kem, đặc nhưng cần tiêu thụ cẩn thận đối với những người đang theo dõi lượng đường bổ sung.",75
5b4bd659-dc11-50b5-9eb8-6adbf43b1628,,,Rượu vang trắng (White Wine),DISH,82.0,0.07,0.0,2.6,0.0,2.6,7.0,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Rượu vang trắng là một loại đồ uống có cồn được sản xuất bằng cách lên men nước ép nho xanh hoặc vàng mà không có vỏ, tạo ra màu vàng nhạt đến vàng nhạt và hương vị giòn. Các loại rượu phổ biến như Chardonnay và Sauvignon Blanc thường chứa 11-14% cồn theo thể tích và kết hợp tốt với các món ăn nhẹ hơn như hải sản hoặc thịt gia cầm. Mặc dù hàm lượng tannin thấp hơn rượu vang đỏ nhưng nó vẫn giữ được lượng calo vừa phải từ rượu và carbohydrate, đồng thời thường chứa sulfit có thể ảnh hưởng đến những người nhạy cảm.",75
76bb2d05-45d2-5d11-8683-98b6fdaaa6f9,,,Soda bia gốc ăn kiêng (Diet Root Beer),DISH,0.0,0.11,0.0,0.0,0.0,0.0,6.0,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Bia rễ dành cho người ăn kiêng là một loại nước ngọt có ga không đường ở Bắc Mỹ, mô phỏng hương vị cay và thảo dược phức tạp của bia gốc truyền thống mà không có hàm lượng calo. Nó đạt được vị ngọt thông qua các chất làm ngọt nhân tạo như aspartame hoặc sucralose, khiến nó hầu như không chứa calo và phù hợp với chế độ ăn kiêng low-carb hoặc bệnh tiểu đường. Đồ uống này duy trì các hương vị đặc trưng của cây xá xị, cây lộc đề và vani trong khi thường không chứa caffeine, mang đến sự thay thế cho các loại nước ngọt dành cho người ăn kiêng khác.",75
feb32ef2-ad62-5216-b1e2-6d0eba727c15,,,Đồ uống thể thao (Sports Drink),DISH,29.0,0.0,0.03,7.14,0.0,5.68,40.5,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Đồ uống thể thao có đường là đồ uống chức năng được thiết kế để bổ sung chất lỏng, chất điện giải và carbohydrate trong quá trình hoạt động thể chất từ ​​trung bình đến cường độ cao. Những đồ uống này thường chứa natri và kali để hỗ trợ cân bằng hydrat hóa, cùng với nồng độ đường 6-8% để cung cấp năng lượng nhanh chóng mà không gây tiêu hóa quá mức. Mặc dù có hiệu quả đối với các vận động viên khi tập luyện kéo dài, nhưng hàm lượng calo và đường bổ sung của chúng khiến nước trở nên thích hợp hơn cho nhu cầu hydrat hóa thông thường.",75
ddf50980-4a24-5a34-a035-9a4ae5f05c0e,,,Kem cà phê (Coffee Ice Cream),DISH,246.0,4.0,14.0,26.0,0.0,20.0,90.0,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Kem cà phê là một món tráng miệng từ sữa đông lạnh được pha với cà phê thật hoặc chiết xuất cà phê, mang lại hương vị rang đặc biệt và hàm lượng caffeine nhẹ. Loại kem cao cấp này thường kết hợp các thành phần kem, đường và cà phê để tạo ra kết cấu mịn, đậm đà với màu nâu đặc trưng. Mặc dù mang lại cảm giác dễ chịu tương tự như kem truyền thống, nhưng nó chứa khoảng 30-45mg caffeine mỗi cốc, khiến nó trở thành lựa chọn phù hợp cho những người nhạy cảm với caffeine.",75
37bbaabb-c294-54fa-984c-e19b5288390b,,,Đồ uống mạch nha (Malt Beverage),DISH,42.0,0.35,0.0,3.2,0.0,3.2,3.0,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Đồ uống mạch nha là đồ uống có cồn được ủ từ ngũ cốc mạch nha lên men, chủ yếu là lúa mạch, thông qua một quy trình tương tự như sản xuất bia. Những đồ uống này thường chứa 4-6% cồn theo thể tích và được đặc trưng bởi vị ngọt có nguồn gốc từ ngũ cốc và hàm lượng carbohydrate cao hơn so với rượu vang hoặc rượu mạnh. Trong khi đồ uống mạch nha cổ điển như bia có chứa gluten, các loại mới hơn có thể sử dụng ngũ cốc hoặc enzyme không chứa gluten để giảm mức gluten và một số được bổ sung vitamin để tăng cường thành phần dinh dưỡng.",75
37b0574a-32c3-5b39-a074-62d101fcbeff,,,Nước cam nhạt (Light Orange Juice),INGREDIENT,20.0,0.4,0.0,5.2,0.0,4.4,8.0,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Nước cam nhạt là một loại đồ uống ít calo thường được làm bằng cách pha loãng nước cam thông thường với nước và thường kết hợp chất làm ngọt không dinh dưỡng để bù đắp cho độ ngọt tự nhiên bị giảm. Mặc dù chứa lượng calo và đường ít hơn khoảng 50% so với nước cam truyền thống, hầu hết các phiên bản thương mại đều được bổ sung vitamin C và đôi khi là canxi hoặc vitamin D để duy trì giá trị dinh dưỡng. Giải pháp thay thế này vẫn giữ được hương vị cam quýt đặc trưng nhưng với cường độ nhẹ hơn, mang đến một lựa chọn thiết thực cho những người tiêu dùng quan tâm đến lượng calo hoặc những người đang theo dõi lượng đường trong máu trong khi vẫn đảm bảo sự tiện lợi của món ăn sáng chủ yếu.",75
d7fc7f10-7f37-5415-88f6-fc36127d4aae,,,Soda cam ăn kiêng (Diet Orange Soda),INGREDIENT,0.0,0.0,0.0,0.0,0.0,0.0,14.0,85ac50db-ec45-4d0f-b644-c46a43621f31,,,"Soda cam dành cho người ăn kiêng là một loại đồ uống có ga không đường, tái tạo hương vị cam quýt của soda cam truyền thống bằng cách sử dụng chất làm ngọt nhân tạo như aspartame hoặc sucralose. Thức uống không chứa calo này mang lại hương vị ngọt ngào, thơm nhưng thiếu hàm lượng nước trái cây tự nhiên như các loại đồ uống không dành cho người ăn kiêng, thường kết hợp chất bảo quản và màu nhân tạo. Mặc dù phổ biến như một loại nước thay thế ít calo cho nước ngọt có đường, nhưng giá trị dinh dưỡng của nó rất ít ngoài vai trò là chất làm dịu cơn khát không chứa caffeine (trong hầu hết các loại) cho những người đang quản lý lượng đường.",75
