id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
c53bbde7-d9ac-58c1-96f9-23cbaae379d0,,,"Ức gà, không xương không da, nấu chín (Chicken Breast, Boneless Skinless, Cooked)",DISH,151.0,30.54,3.17,0.0,0.0,0.0,52.0,de172d43-2578-4f27-a571-6d871460d273,,,"Ức gà (không xương, không da) là nguồn protein nạc chủ yếu được đánh giá cao vì giá trị sinh học cao và hàm lượng chất béo tối thiểu. Khi nấu chín bằng các phương pháp như nướng, nướng bánh hoặc luộc, nó cung cấp khoảng 31g protein trên 100g khẩu phần với ít hơn 4g chất béo, khiến nó trở thành nền tảng của chế độ ăn kiêng duy trì cơ bắp và quản lý cân nặng. Hương vị trung tính và kết cấu chắc nhưng mềm của nó thích ứng tốt với các món ăn toàn cầu, từ món khai vị tẩm thảo mộc đến món salad cắt lát phủ trên.",80
3c8211a7-8b69-5e46-a408-5eccee49b52f,,,"Ức gà không xương không da, tươi sống (Boneless Skinless Chicken Breast, Raw)",INGREDIENT,120.0,22.5,2.62,0.0,0.0,0.0,45.0,de172d43-2578-4f27-a571-6d871460d273,,,"Ức gà không da không xương là nguồn protein nạc được sử dụng rộng rãi trong chế độ ăn uống có lợi cho sức khỏe do tỷ lệ protein trên chất béo cao. Việc loại bỏ cả xương và da tạo ra một vết cắt ít chất béo chứa chất béo bão hòa tối thiểu đồng thời cung cấp các axit amin thiết yếu cần thiết để duy trì cơ bắp. Loại thịt đa năng này thích ứng tốt với các phương pháp nấu ăn khác nhau bao gồm nướng, nướng bánh và luộc, đóng vai trò như một lớp nền trung tính giúp dễ dàng hấp thụ nước xốt và gia vị.",80
3674ec34-90f4-54b5-9bb6-eb7665c708d2,,,Gà viên (Chicken Tenders),INGREDIENT,376.67,18.0,22.0,27.33,1.0,1.33,533.33,de172d43-2578-4f27-a571-6d871460d273,,,"Thịt gà rán miền Nam là những miếng thịt ức gà tẩm bột được tẩm gia vị và chiên giòn cho đến khi có màu vàng nâu và giòn. Những món mềm kiểu nhà hàng này có lớp phủ bột dày dặn đặc biệt và thường được phục vụ nóng như món ăn chính, cung cấp hàm lượng protein đáng kể đồng thời có nhiều chất béo và natri hơn do quá trình chiên và tẩm bột tẩm gia vị. Các chất gây dị ứng phổ biến bao gồm lúa mì, trứng và các sản phẩm từ sữa được sử dụng trong quá trình làm bánh mì.",80
6194b4f2-f45a-51c6-9dab-42506c531cc5,,,"Thịt bò băm 80% nạc, tươi sống (80% Lean Ground Beef, Raw)",INGREDIENT,248.0,17.4,19.7,0.0,0.0,0.0,60.5,de172d43-2578-4f27-a571-6d871460d273,,,"Thịt bò xay nạc 80% là sản phẩm thịt tươi, chưa nấu chín, bao gồm 20% chất béo và 80% mô cơ tính theo trọng lượng, mang lại sự cân bằng về hương vị và độ ẩm cho quá trình nấu nướng. Hàm lượng chất béo cao hơn so với các loại nạc hơn góp phần mang lại hương vị phong phú hơn và ngon ngọt hơn trong các món ăn như bánh mì kẹp thịt và bánh mì thịt nhưng làm tăng lượng chất béo bão hòa và lượng calo. Nguồn protein đa năng này tạo màu nâu rất tốt cho nước sốt và giữ được độ mềm khi nướng hoặc chiên, mặc dù chất béo dư thừa thường tiêu hao trong quá trình nấu.",80
a926d6b7-0697-5433-86c0-23691230b634,,,"Thịt bò băm, tươi sống (Ground Beef, Raw)",INGREDIENT,250.0,17.4,19.7,0.0,0.0,0.0,60.0,de172d43-2578-4f27-a571-6d871460d273,,,"Thịt bò xay là một sản phẩm thịt sống đa năng được làm bằng cách băm nhuyễn các miếng thịt bò và thịt vụn, có tỷ lệ nạc/mỡ như 90/10 hoặc 80/20. Nó cung cấp protein, sắt, kẽm và vitamin B chất lượng cao, mặc dù hàm lượng chất béo bão hòa của nó tăng tỷ lệ thuận với hỗn hợp chất béo cao hơn. Yêu cầu nấu kỹ ở nhiệt độ 160°F (71°C) để đảm bảo an toàn, nó tạo thành nền cho các món ăn như bánh mì kẹp thịt và nước sốt, đồng thời yêu cầu xử lý cẩn thận để ngăn ngừa lây nhiễm chéo ở trạng thái thô.",80
4685cac0-9675-5fac-b413-e87b41b3ffd8,,,"Hạnh nhân rang (Almonds, Roasted)",DISH,598.0,20.96,52.54,21.01,10.9,4.86,3.0,de172d43-2578-4f27-a571-6d871460d273,,,"Hạnh nhân rang là loại hạnh nhân được rang khô để tăng hương vị và độ giòn. Việc rang làm tăng hương vị hạt dẻ tự nhiên của hạnh nhân và tạo ra kết cấu giòn ngon hơn so với hạnh nhân thô. Chúng vẫn là nguồn cung cấp chất béo lành mạnh, vitamin E và magiê, khiến chúng trở thành một món ăn nhẹ bổ dưỡng hoặc bổ sung cho bữa ăn. Tuy nhiên, rang có thể làm giảm nhẹ mức độ của một số chất dinh dưỡng nhạy cảm với nhiệt.",75
e4d1edc6-c358-50bd-ac01-91b65021955c,,,"Thịt bò băm, nấu chín (Ground Beef, Cooked)",DISH,240.0,25.1,14.5,0.62,0.0,0.0,85.0,de172d43-2578-4f27-a571-6d871460d273,,,"Thịt bò xay nấu chín là nguồn protein linh hoạt có nguồn gốc từ thịt bò xay mịn. Quá trình nấu tạo ra một số chất béo, làm giảm hàm lượng chất béo tổng thể so với thịt bò xay sống, mặc dù thành phần dinh dưỡng đa lượng cuối cùng thay đổi đáng kể dựa trên tỷ lệ nạc trên mỡ (ví dụ: 80/20, 90/10). Nó là thành phần chính trong nhiều món ăn, bao gồm bánh mì kẹp thịt, bánh taco và nước sốt mì ống, cung cấp nguồn protein động vật sẵn có và tương đối rẻ tiền.",80
0a20c237-4fb3-563a-bc00-55934ac4db91,,,"Thịt bò băm 85% nạc, tươi sống (85% Lean Ground Beef, Raw)",INGREDIENT,215.0,18.6,15.0,0.0,0.0,0.0,66.0,de172d43-2578-4f27-a571-6d871460d273,,,"Thịt bò xay nạc 85% là sản phẩm thịt đỏ đa năng bao gồm 85% cơ nạc và 15% chất béo tính theo trọng lượng, mang lại sự cân bằng giữa hương vị và hàm lượng chất béo vừa phải. Hỗn hợp này cung cấp protein hoàn chỉnh chất lượng cao và sắt sinh khả dụng, mặc dù mức độ chất béo bão hòa của nó cần được xem xét đối với chế độ ăn có lợi cho tim. Hàm lượng chất béo giúp tăng cường độ ngon ngọt trong các món nấu chín như bánh mì kẹp thịt hoặc nước sốt thịt, với khoảng 25% chất béo thô thường tiết ra trong quá trình nấu.",80
4b698303-6e09-5d4f-a7c7-d50f23e71c81,,,"Thịt thăn ngoài, tươi sống (Top Sirloin Roast, Raw)",INGREDIENT,128.0,22.9,3.93,0.0,0.0,0.0,62.0,de172d43-2578-4f27-a571-6d871460d273,,,"Thịt thăn nướng thượng hạng là thịt bò nạc được cắt từ phần thịt thăn nguyên thủy, được đánh giá cao nhờ sự cân bằng giữa vân mỡ vừa phải và hàm lượng chất béo thấp hơn so với các loại thịt nướng đậm đà hơn như ribeye. Món nướng đa năng này cung cấp protein chất lượng cao với hương vị đậm đà của thịt bò, thường được chế biến bằng cách rang hoặc nướng và thường được cắt thành miếng bít tết. Mặc dù mềm tự nhiên nhưng độ nạc của nó được hưởng lợi từ việc nấu chín cẩn thận để giữ được độ ngon ngọt, khiến nó có thể thích ứng với cả chế độ ăn ít chất béo và các bữa ăn thịnh soạn.",75
804d1fb4-3f8e-5268-b105-9a7212793480,,,"Gà tây ít natri, lát nấu chín (Low-Sodium Turkey, Cooked Slices)",DISH,125.0,18.0,2.7,3.0,0.0,3.0,610.0,de172d43-2578-4f27-a571-6d871460d273,,,"Thịt gà tây nấu chín lát có hàm lượng natri thấp là loại thịt nạc, được nấu sẵn, được chế biến sẵn mà không thêm muối, khiến chúng trở thành một lựa chọn thay thế thân thiện với tim mạch so với các loại thịt chế biến truyền thống. Gà tây thường được rang hoặc nướng để giữ được hàm lượng protein cao và hương vị nhẹ, đồng thời giảm thiểu lượng chất béo và natri. Những lát cắt đa năng này rất lý tưởng cho bánh mì sandwich, salad hoặc đồ ăn nhẹ, cung cấp nguồn protein thuận tiện cho những người đang kiểm soát huyết áp hoặc giảm lượng thức ăn chế biến sẵn.",80
