id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
876b3bcf-c74a-5826-8161-24a86bc92261,,,Bánh mì kẹp chay (Veggie Burger),DISH,195.0,10.5,8.5,20.5,2.5,4.0,520.0,7b603b8f-7b09-4100-966b-31a4b3d6b932,,,"Bánh mì kẹp thịt chay thức ăn nhanh là một loại bánh sandwich làm từ thực vật có nhân được làm chủ yếu từ rau, ngũ cốc và protein đậu nành, được phục vụ trên một chiếc bánh mì hạt vừng với lớp phủ tiêu chuẩn. Mặc dù cung cấp hàm lượng protein tương đương với bánh mì kẹp thịt bò (khoảng 21g), nhưng những chiếc bánh mì kẹp thịt này thường chứa ít calo và chất béo bão hòa hơn nhưng hàm lượng natri cao hơn, thường vượt quá 1.000mg mỗi khẩu phần. Bánh mì sandwich hoàn chỉnh thường bao gồm rau diếp, cà chua và gia vị, khiến nó trở thành một lựa chọn ăn chay tiện lợi với trung bình 390 calo.",75
3aea1a87-7ad7-5dcb-8684-6c1301d3a5dd,,,Bánh mì kẹp rau củ (Vegetable Sandwich),DISH,140.0,5.4,2.3,24.5,2.0,3.5,340.0,7b603b8f-7b09-4100-966b-31a4b3d6b932,,,"Bánh sandwich rau là một bữa ăn có nguồn gốc từ thực vật bao gồm các lớp rau tươi hoặc nướng, thường được phục vụ trên bánh mì nguyên hạt hoặc bánh mì cuộn. Tùy chọn đậm đặc chất dinh dưỡng này cung cấp đáng kể chất xơ, vitamin và khoáng chất trong khi vẫn chứa ít chất béo bão hòa, đặc biệt khi kết hợp với các loại phết như hummus hoặc bơ thay vì sốt mayonnaise. Các thành phần có thể tùy chỉnh của nó—chẳng hạn như rau diếp giòn, cà chua, dưa chuột và rau mầm—tạo ra sự tương phản về kết cấu hài lòng, khiến món này trở thành lựa chọn linh hoạt cho chế độ ăn chay, thuần chay hoặc có ý thức về sức khỏe.",95
32706a15-25f2-5d0e-9c1d-01c489f22968,,,Bánh mì kẹp salad gà (Chicken Salad Sandwich),DISH,240.0,12.0,11.0,25.0,2.5,3.0,350.0,7b603b8f-7b09-4100-966b-31a4b3d6b932,,,"Bánh sandwich salad gà là một món ăn trưa cổ điển kết hợp thịt gà nấu chín cắt nhỏ hoặc thái hạt lựu với nước sốt làm từ sốt mayonnaise, thường được tăng cường với các chất bổ sung giòn như cần tây, hành tây hoặc các loại hạt. Bữa ăn giàu protein này cung cấp năng lượng bền vững nhưng có thể thay đổi đáng kể về mật độ calo tùy thuộc vào phương pháp chuẩn bị, với các biến thể hiện đại kết hợp trái cây hoặc sản phẩm thay thế sữa chua Hy Lạp. Nó thường được phục vụ lạnh trên bánh mì, bánh sừng bò hoặc rau diếp bọc, làm cho nó có thể thích ứng với sở thích ăn kiêng ít carb và giảm chất béo.",80
76cecba9-6e29-535b-a9b8-94c1e7432766,,,Vỏ bánh taco lúa mì nguyên cám (Whole Wheat Taco Shells),DISH,310.0,9.8,9.8,46.0,9.8,2.0,617.0,7b603b8f-7b09-4100-966b-31a4b3d6b932,,,"Vỏ bánh taco làm từ lúa mì nguyên hạt là một loại thay thế đậm đặc chất dinh dưỡng cho bánh ngô hoặc bột mì truyền thống, được làm từ bột mì nguyên cám xay bằng đá để giữ lại cám và mầm để bổ sung chất xơ. Những loại vỏ nướng hoặc chiên này mang lại kết cấu đậm đà hơn và hương vị hấp dẫn hơn so với các phiên bản bột tinh chế, đồng thời cung cấp lượng chất xơ nhiều hơn 2-3 lần trong mỗi khẩu phần để hỗ trợ sức khỏe tiêu hóa. Cấu trúc chắc chắn của chúng giữ nhân tốt, khiến chúng trở thành lựa chọn thiết thực cho những bữa ăn có lợi cho sức khỏe mà không làm mất đi độ giòn như vỏ bánh taco.",75
6a9f1e30-47e4-5d0e-bb1a-99dfb49c468f,,,Bánh mì hot dog (Hot Dog Bun),DISH,279.0,9.8,3.84,50.1,2.0,6.83,500.0,7b603b8f-7b09-4100-966b-31a4b3d6b932,,,"Bánh mì xúc xích là một sản phẩm bánh mì dài, có hai đầu được thiết kế đặc biệt để đựng xúc xích, thường được làm từ bột mì đã được làm giàu để phục hồi sắt và vitamin B bị mất trong quá trình xay xát. Những cuộn bánh mềm, hơi ngọt này có cấu trúc vụn mềm tương phản với xúc xích nướng hoặc hấp trong khi vẫn duy trì được tính toàn vẹn về cấu trúc. Mặc dù cung cấp carbohydrate và một số chất dinh dưỡng tăng cường, hầu hết các loại thương mại đều chứa chất xơ tối thiểu do bột tinh chế là thành phần chính.",75
a7a338b7-d6f6-5370-a72e-4772f0ffb491,,,Xúc xích hot dog bò (Beef Hot Dogs),DISH,315.0,11.7,28.1,2.97,0.0,1.17,900.0,7b603b8f-7b09-4100-966b-31a4b3d6b932,,,"Xúc xích bò được nấu chín hoàn toàn, xúc xích được nhũ hóa làm từ thịt bò vụn xay mịn trộn với gia vị và chất đóng rắn. Đặc trưng bởi kết cấu mịn và hương vị khói, những loại thịt chế biến này thường chứa nhiều natri và chất béo bão hòa, với nhiều loại thương mại có chứa chất bảo quản như natri nitrit. Mặc dù thường được nướng hoặc luộc và dùng làm bánh với gia vị, nhưng thành phần dinh dưỡng của chúng khiến chúng tốt nhất nên tiêu thụ ở mức độ vừa phải trong chế độ ăn uống cân bằng.",75
2d69fee8-4c25-56ff-899e-1217a0fbc57c,,,Phô mai phồng (Cheese Puffs),DISH,564.0,5.66,36.26,54.02,1.1,3.38,935.0,7b603b8f-7b09-4100-966b-31a4b3d6b932,,,"Bánh phồng phô mai là một món ăn nhẹ làm từ bột ngô ép đùn có đặc điểm là kết cấu thoáng, giòn và màu cam sáng từ hương vị phô mai nhân tạo. Quá trình sản xuất bao gồm việc tạo hình và làm phồng bột ngô bằng máy móc, thường thông qua nướng hoặc chiên, tạo ra một món ăn nhẹ có hàm lượng natri và chất béo bão hòa cao nhưng ít protein. Mặc dù phổ biến vì hương vị phô mai đậm đà nhưng chúng lại thiếu hàm lượng dinh dưỡng phức tạp như các sản phẩm ngũ cốc hoặc sữa nguyên chất.",75
f749bd69-165a-5167-ae41-274cd2fc289d,,,Sốt taco nhẹ (Mild Taco Sauce),DISH,33.0,0.5,0.5,6.3,1.0,3.5,630.0,7b603b8f-7b09-4100-966b-31a4b3d6b932,,,"Nước sốt taco nhẹ là một loại gia vị làm từ cà chua được trộn với ớt, thì là và tỏi, được thiết kế để tăng thêm độ cay tinh tế cho các món ăn lấy cảm hứng từ Mexico. Nó mang lại hương vị đậm đà với ít calo và ít chất béo hơn đáng kể so với các loại kem phủ trên bề mặt như kem chua hoặc queso. Loại nước sốt đa năng này thường là món thuần chay và không chứa gluten, khiến nó trở thành chất tăng cường thân thiện với chế độ ăn kiêng cho món tacos, burritos và bát ngũ cốc đồng thời đáp ứng các nhu cầu ăn kiêng đa dạng.",75
cdc53032-95c8-5a27-a110-581f04b4067c,,,Bánh quy giòn phô mai nguyên hạt (Whole Grain Cheese Crackers),INGREDIENT,412.0,9.62,16.02,57.3,6.4,0.0,754.0,7b603b8f-7b09-4100-966b-31a4b3d6b932,,,"Bánh quy phô mai nguyên hạt là một món ăn nhẹ nướng được làm từ bột ngũ cốc nguyên hạt và phô mai thật, mang đến sự thay thế đậm đặc chất dinh dưỡng hơn cho các phiên bản bột tinh chế truyền thống. Kết cấu giòn và hương vị umami thơm ngon của chúng đến từ việc truyền phô mai tự nhiên, trong khi ngũ cốc nguyên hạt cung cấp nhiều chất xơ và protein hơn đáng kể trong mỗi khẩu phần so với bánh quy phô mai tiêu chuẩn. Mặc dù hàm lượng carbohydrate rỗng thấp hơn nhưng chúng vẫn là thực phẩm chế biến sẵn thường chứa hàm lượng natri và chất béo bão hòa vừa phải.",75
8ce38715-cec7-5e1d-8998-9b5d0f1474be,,,Bánh mì hot dog lúa mì (Wheat Hot Dog Bun),DISH,240.0,7.5,2.8,44.0,3.0,5.0,430.0,7b603b8f-7b09-4100-966b-31a4b3d6b932,,,"Bánh mì xúc xích lúa mì là một loại bánh mì cuộn dài, mềm được làm từ bột mì đã được làm giàu, được thiết kế đặc biệt để đựng xúc xích hoặc các sản phẩm thay thế làm từ thực vật. Quá trình làm giàu bổ sung lại sắt và vitamin B (thiamine, riboflavin, niacin) bị mất trong quá trình xay xát, trong khi nền bột tinh chế tạo ra kết cấu nhẹ hơn và hương vị ngọt ngào hơn so với bánh mì làm từ ngũ cốc nguyên hạt. Mặc dù có ít chất xơ hơn so với các phiên bản làm từ lúa mì nguyên hạt, nhưng những chiếc bánh cắt sẵn này vẫn là sự lựa chọn thuận tiện cho các bữa ăn nhanh, chứa gluten mang lại cấu trúc nguyên vẹn để chịu được nhân ẩm.",75
c7576f28-c3db-5af6-918d-8dffdd4f1d89,,,Sốt taco cay (Hot Taco Sauce),DISH,40.0,1.1,0.4,8.3,1.5,6.0,650.0,7b603b8f-7b09-4100-966b-31a4b3d6b932,,,"Nước sốt taco nóng là một loại gia vị cay, làm từ giấm thường được sử dụng để tăng cường các món ăn lấy cảm hứng từ Mexico như tacos, burritos và nachos. Được làm chủ yếu bằng ớt, cà chua và hỗn hợp bột thì là, tỏi và hành tây, nó mang lại độ nóng cân bằng với tông màu thơm và khói. Mặc dù nhìn chung có lượng calo thấp nhưng hàm lượng natri của nó thay đổi đáng kể giữa các nhãn hiệu và một số phiên bản có thể chứa đường bổ sung. Độ đặc vừa phải của nước sốt bám rất tốt vào nhân, giúp phân biệt với nước sốt nóng loãng hơn.",75
