id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
6ab29183-e345-5e7b-95cc-7e0880e0a150,,,Khoai tây (Potatoes),INGREDIENT,77.0,2.0,0.09,17.4,1.7,0.95,6.3,d955f552-54bb-4357-b9be-a0269615a707,,,"Khoai tây là loại rau củ có nhiều tinh bột, được dùng như một loại thực phẩm chủ yếu trong chế độ ăn uống toàn cầu do tính linh hoạt và carbohydrate cung cấp năng lượng của chúng. Hương vị trung tính và kết cấu đa dạng của chúng - từ khoai tây mềm mịn đến khoai tây đỏ sáp - thích hợp để nướng, luộc hoặc chiên, mặc dù phương pháp chế biến ảnh hưởng đáng kể đến thành phần dinh dưỡng của chúng. Khoai tây tươi còn vỏ cung cấp vitamin C, kali và chất xơ, đồng thời chỉ số no cao khiến chúng có giá trị trong chế độ ăn uống cân bằng khi được chế biến với lượng chất béo bổ sung tối thiểu.",95
284ede16-c09c-5b88-9ad7-07f3e14a5ce4,,,Hành tây vàng (Yellow Onion),INGREDIENT,40.0,0.83,0.05,8.61,1.9,5.82,1.0,d955f552-54bb-4357-b9be-a0269615a707,,,"Hành vàng là một loại rau allium đa năng có đặc điểm là vỏ màu nâu vàng như giấy và thịt trắng nhiều lớp với hương vị ngọt-cay nồng cân bằng. Khi nấu chín, đường tự nhiên của nó chuyển thành caramen tạo thành vị ngọt đậm đà, khiến nó trở thành nguyên liệu cơ bản trong các món súp, nước sốt và món xào. Loại này chứa các hợp chất lưu huỳnh cao hơn hành ngọt, góp phần tạo nên hương vị thô sắc nét hơn và hàm lượng chất chống oxy hóa đáng chú ý từ các flavonoid như quercetin.",95
2850ee93-e468-5de7-a128-053c2f58d89b,,,Khoai tây trắng (White Potatoes),INGREDIENT,69.0,1.68,0.1,15.71,2.4,1.15,16.0,d955f552-54bb-4357-b9be-a0269615a707,,,"Khoai tây trắng là một loại rau củ có nhiều tinh bột, đặc trưng bởi hương vị trung tính và kết cấu mịn khi nấu chín. Nguồn carbohydrate linh hoạt này cung cấp các chất dinh dưỡng thiết yếu bao gồm vitamin C, kali và chất xơ - đặc biệt khi được tiêu thụ với làn da đậm đặc chất dinh dưỡng của chúng. Mặc dù chúng thường được chế biến bằng cách nướng, luộc hoặc chiên, nhưng chỉ số đường huyết cao khi gọt vỏ khiến việc chia khẩu phần thích hợp trở nên quan trọng đối với việc quản lý lượng đường trong máu.",95
89e01552-3f29-531b-af7f-8dc477507e40,,,Hành tây (Onions),INGREDIENT,41.0,1.13,0.1,9.66,1.77,4.61,3.57,d955f552-54bb-4357-b9be-a0269615a707,,,"Hành tây là loại rau củ cơ bản thuộc họ Allium, được công nhận nhờ cấu trúc phân lớp và các hợp chất lưu huỳnh tạo ra mùi thơm hăng khi cắt. Hành tươi cung cấp vitamin C, chất chống oxy hóa như quercetin và chất xơ prebiotic trong khi vẫn chứa ít calo. Đặc điểm hương vị của chúng thay đổi đáng kể khi nấu - phát triển vị ngọt caramen khi xào - và các loại khác nhau đáng kể, với hành đỏ được ưa chuộng sống để tạo độ giòn, màu vàng để nấu và màu trắng để tạo độ sắc nét trong salsas.",95
d730bc16-6e2a-5ea5-bdfb-cade029fb166,,,"Hành tây nấu chín (Onions, Cooked)",DISH,44.0,1.36,0.19,10.15,1.7,4.73,3.0,d955f552-54bb-4357-b9be-a0269615a707,,,"Hành tây nấu chín là loại rau hành được làm mềm, caramen, tạo ra hương vị ngọt ngào, êm dịu khi đun nóng, tương phản rõ rệt với vị cay nồng sống của chúng. Quá trình nấu phá vỡ cấu trúc tế bào của chúng, tăng cường khả năng tiêu hóa đồng thời bảo tồn chất xơ hòa tan có lợi và các hợp chất prebiotic hỗ trợ sức khỏe đường ruột. Thành phần nền tảng đa năng này xuất hiện trong các món xào, quay hoặc nướng trong các nền ẩm thực toàn cầu, tăng thêm chiều sâu cho các món ăn từ súp đến món xào mà không tăng thêm lượng calo đáng kể khi chế biến không có dầu hoặc chất béo.",95
0ed2dbfb-1a0a-5bbd-a9d1-aabb5882e7f0,,,"Đậu pinto khô (Pinto Beans, Dry)",INGREDIENT,347.0,23.7,1.24,62.0,15.0,2.0,6.0,d955f552-54bb-4357-b9be-a0269615a707,,,"Đậu pinto khô là loại đậu phải được bù nước và nấu chín trước khi tiêu thụ. Những hạt đậu lốm đốm màu be này là thành phần chủ yếu trong nhiều nền ẩm thực, đặc biệt là trong các món ăn Mexico và Tây Nam, nơi chúng thường được nghiền hoặc dùng trong các món hầm và ớt. Đậu Pinto là nguồn cung cấp protein, chất xơ và các vi chất dinh dưỡng có nguồn gốc thực vật tuyệt vời, khiến chúng trở thành nguồn bổ sung dinh dưỡng và linh hoạt cho chế độ ăn uống cân bằng.",75
d2568cf5-05b3-5c48-932b-18b21a55e0bb,,,Đậu phộng rang mật ong (Honey Roasted Peanuts),DISH,560.0,23.0,43.0,27.0,8.0,12.0,190.0,d955f552-54bb-4357-b9be-a0269615a707,,,"Đậu phộng rang mật ong là một món ăn nhẹ có vị ngọt được làm bằng cách phủ đậu phộng đã bóc vỏ trong một lớp men làm từ mật ong trước khi nướng trong lò, tạo ra kết cấu giòn và hương vị mặn ngọt cân bằng. Trong khi vẫn giữ được protein tự nhiên và chất béo lành mạnh của đậu phộng sống, chế phẩm này làm tăng đáng kể lượng đường và carbohydrate bổ sung so với các loại không đường. Lớp phủ caramen bóng khiến chúng trở nên phổ biến trong các món ăn vặt và hỗn hợp đường mòn, mặc dù hàm lượng đường của chúng đòi hỏi phải kiểm soát khẩu phần ăn một cách cẩn thận trong việc theo dõi dinh dưỡng.",75
80e32933-423b-5571-98f1-4bdf5c896318,,,Nấm Cremini (Cremini Mushrooms),INGREDIENT,22.0,2.5,0.1,4.3,0.6,1.72,6.0,d955f552-54bb-4357-b9be-a0269615a707,,,"Nấm Cremini (Agaricus bisporus) là một loại nấm nút phổ biến trưởng thành, đại diện cho giai đoạn tăng trưởng trung gian giữa nấm nút trắng và nấm portobellos phát triển đầy đủ. Những loại nấm mũ nâu ​​này có hương vị đất đậm hơn so với các loại nấm non hơn do hợp chất umami đậm đặc, cùng với kết cấu thịt chắc, lý tưởng để xào hoặc rang. Chúng cung cấp một lượng đáng kể vitamin B, kali và selen trong khi vẫn chứa ít calo, khiến chúng trở thành nguồn bổ sung đậm đặc chất dinh dưỡng cho các món súp, món xào và các món ăn có nguồn gốc thực vật.",95
f9ac63b0-53d1-57ab-8e97-8d0e55b82356,,,Đậu lăng đỏ (Red Lentils),INGREDIENT,340.0,23.1,2.0,57.3,14.3,2.4,3.3,d955f552-54bb-4357-b9be-a0269615a707,,,"Đậu lăng đỏ được tách đôi, không có vỏ, được biết đến với thời gian nấu nhanh và khả năng chuyển thành dạng kem khi đun sôi. Những loại đậu màu cam đồng này cung cấp đáng kể protein từ thực vật và chất xơ trong khi ít chất béo tự nhiên, với hàm lượng sắt và folate đáng chú ý. Là món chủ yếu trong món dals của Ấn Độ và món hầm Trung Đông, chúng hấp thụ hương vị dễ dàng và không cần ngâm trước, khiến chúng trở nên lý tưởng cho những bữa ăn nhạy cảm về thời gian.",75
e40af116-ab35-5724-8acb-30d9a5b4b46f,,,"Đậu đỏ đóng hộp ráo nước (Red Beans, Canned and Drained)",DISH,105.4,6.6,0.6,14.0,6.5,2.4,320.0,d955f552-54bb-4357-b9be-a0269615a707,,,"Đậu đỏ đóng hộp là nguồn cung cấp protein và chất xơ thực vật tiện lợi và sẵn có. Quá trình đóng hộp làm mềm đậu, khiến chúng được chế biến nhanh hơn so với đậu khô, mặc dù nó có thể làm giảm một chút mức chất dinh dưỡng nhất định. Để ráo đậu trước khi sử dụng giúp giảm hàm lượng natri thường được thêm vào trong quá trình đóng hộp và loại bỏ tinh bột dư thừa, có thể cải thiện khả năng tiêu hóa và hương vị.",75
