id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
1a8cd014-7cf9-5be5-9dcf-a48d34a52336,,,Muối bơ (Salted Butter),INGREDIENT,717.0,0.85,81.1,0.06,0.0,0.06,700.0,179f9c83-d8b7-4ed3-852a-438529a88828,,,"Bơ mặn là một sản phẩm sữa được tạo ra bằng cách đánh kem và thêm muối trong quá trình chế biến, thường chứa 1-2% natri tính theo trọng lượng. Muối giúp tăng hương vị và hoạt động như một chất bảo quản tự nhiên, kéo dài thời hạn sử dụng so với các loại không ướp muối. Mặc dù có hàm lượng chất béo tương tự như bơ không muối, lượng natri bổ sung của nó tác động đến cả hương vị và cân nhắc về chế độ ăn uống, khiến bơ trở nên lý tưởng cho việc nấu nướng và phết bơ nói chung nhưng kém chính xác hơn khi nướng khi cân bằng muối trong công thức là vấn đề quan trọng.",75
549ebca9-0a25-54fa-983f-c06dfafefc49,,,Đường (Sugar),DISH,400.0,0.0,0.0,100.0,0.0,100.0,1.0,179f9c83-d8b7-4ed3-852a-438529a88828,,,"Đường là một loại carbohydrate tinh chế được chiết xuất chủ yếu từ mía hoặc củ cải đường, được chế biến thành tinh thể sucrose nguyên chất. Chất làm ngọt giàu calo này cung cấp 4 calo mỗi gram nhưng thiếu các vitamin, khoáng chất hoặc chất xơ thiết yếu. Mặc dù xuất hiện tự nhiên trong trái cây và sữa, nhưng đường bổ sung trong thực phẩm và đồ uống đã qua chế biến có thể làm tăng nguy cơ sức khỏe khi tiêu thụ quá mức.",75
8df9b984-a6ab-5234-ad1d-1d8e2b0715f9,,,Mật ong (Honey),DISH,304.0,0.3,0.0,82.4,0.2,82.1,7.0,179f9c83-d8b7-4ed3-852a-438529a88828,,,"Mật ong là chất làm ngọt tự nhiên được tạo ra bởi ong mật thông qua quá trình chuyển đổi enzyme của mật hoa, bao gồm chủ yếu là fructose và glucose. Không giống như đường tinh luyện, nó chứa một lượng nhỏ enzyme, chất chống oxy hóa và các hợp chất kháng khuẩn góp phần vào công dụng lịch sử của nó trong cả ứng dụng ẩm thực và y học. Chất lỏng nhớt có màu từ trong đến màu hổ phách, với hương vị và đặc tính dinh dưỡng thay đổi đáng kể dựa trên nguồn hoa và phương pháp chế biến tối thiểu.",75
6c7336c9-ae0c-5a03-a1e7-5510163fe2a1,,,Salsa Roja (Salsa Roja),DISH,29.0,1.5,0.17,6.7,1.8,4.2,640.0,179f9c83-d8b7-4ed3-852a-438529a88828,,,"Salsa Roja là một loại nước sốt Mexico nấu chín được làm từ cà chua, ớt, hành và tỏi, thường được ninh hoặc rang để tạo hương vị khói đặc trưng. Loại gia vị đa năng này có phạm vi từ cay nhẹ đến cay đậm tùy thuộc vào loại ớt được sử dụng, đồng thời cung cấp chất chống oxy hóa như lycopene từ cà chua và capsaicin tăng cường trao đổi chất. Chế phẩm nấu chín giúp tăng cường độ phức tạp của hương vị trong khi vẫn duy trì hàm lượng calo và chất béo thấp, khiến nó phù hợp với chế độ ăn thuần chay, không chứa gluten và hạn chế cân nặng.",75
d91b2d73-f3e9-5260-8b67-c0beae6a490a,,,Đường kính trắng (Granulated Sugar),DISH,387.0,0.0,0.0,100.0,0.0,100.0,1.0,179f9c83-d8b7-4ed3-852a-438529a88828,,,"Đường cát là một loại carbohydrate tinh chế được chiết xuất từ ​​​​mía hoặc củ cải đường, bao gồm gần như hoàn toàn các tinh thể sucrose. Chất làm ngọt phổ biến này trải qua quá trình xử lý rộng rãi để loại bỏ mật đường và tạp chất, tạo ra các tinh thể màu trắng đồng nhất, dễ dàng hòa tan trong chất lỏng. Mặc dù cần thiết cho việc làm bánh và làm ngọt đồ uống, nhưng nó cung cấp 4 calo mỗi gram mà không có vitamin hoặc khoáng chất đáng kể, đòi hỏi phải tiêu thụ một cách thận trọng trong chế độ ăn uống cân bằng.",75
55bdd82f-35e4-5849-ade2-39ffa5bcbc30,,,Sốt Teriyaki (Teriyaki Sauce),DISH,89.0,5.93,0.02,15.6,0.1,14.1,3830.0,179f9c83-d8b7-4ed3-852a-438529a88828,,,"Sốt Teriyaki là một loại men ngọt và mặn thường được sử dụng trong ẩm thực Nhật Bản. Loại nước sốt này thường bao gồm nước tương, mirin (rượu gạo ngọt), đường và gừng, tạo nên lớp phủ bóng khi áp dụng cho các món nướng hoặc áp chảo. Do hàm lượng đường và natri cao nên việc kiểm soát khẩu phần rất quan trọng khi kết hợp sốt teriyaki vào chế độ ăn uống cân bằng.",75
2ee1a9da-949d-54c1-b484-7909bdeda170,,,Đường nâu sẫm (Dark Brown Sugar),INGREDIENT,380.0,0.1,0.0,98.0,0.0,97.0,28.0,179f9c83-d8b7-4ed3-852a-438529a88828,,,"Đường nâu sẫm là đường mía được tinh chế tối thiểu chứa 6-10% mật đường, tạo cho nó màu caramel đậm và kết cấu ẩm, dính. Hương vị mật đường đậm đà khiến nó trở nên lý tưởng cho các món nướng đậm đà như bánh gừng và đậu nướng, những nơi mà cả độ ngọt và khả năng giữ ẩm đều rất quan trọng. Mặc dù về mặt dinh dưỡng tương tự như các loại đường khác về hàm lượng calo, mật đường được giữ lại cung cấp một lượng nhỏ canxi, sắt và kali so với đường tinh chế hoàn toàn.",75
5909bd8a-e62b-581d-91b0-fea380b5237e,,,Muối tỏi (Garlic Salt),INGREDIENT,0.0,0.0,0.0,0.0,0.0,0.0,35000.0,179f9c83-d8b7-4ed3-852a-438529a88828,,,"Muối tỏi là hỗn hợp gia vị kết hợp giữa bột tỏi khô, muối ăn và một lượng nhỏ chất chống đóng bánh. Mặc dù nó mang lại hương vị tỏi đậm đặc với sự tiện lợi của việc gia vị được đo lường, nhưng hàm lượng natri của nó cao hơn đáng kể so với tỏi tươi - thường chứa ba phần muối và một phần tỏi. Loại lương thực chủ yếu này thường được sử dụng để nêm các loại thịt, rau củ nướng và các món mặn yêu cầu cả hương vị tỏi và muối.",75
b72ede37-d5cb-5508-b4f4-f63a7c0844b6,,,Sốt Worcestershire (Worcestershire Sauce),DISH,77.0,0.0,0.2,19.0,0.0,10.0,1140.0,179f9c83-d8b7-4ed3-852a-438529a88828,,,"Nước sốt Worcestershire là một loại gia vị lỏng lên men có nguồn gốc từ Worcester, Anh. Nước sốt mặn này được đặc trưng bởi hương vị umami phức tạp, bắt nguồn từ sự pha trộn của các thành phần bao gồm giấm, mật đường, cá cơm, chiết xuất me, hành, tỏi và gia vị. Nó thường được sử dụng để tăng hương vị của thịt, nước sốt, nước xốt và món hầm, tăng thêm chiều sâu và độ đậm đà cho nhiều món ăn.",75
3d3d1569-6194-5d24-9a22-4e3db501b8e7,,,Giấm vang đỏ (Red Wine Vinegar),INGREDIENT,19.0,0.04,0.0,0.27,0.0,0.0,8.0,179f9c83-d8b7-4ed3-852a-438529a88828,,,"Giấm rượu vang đỏ là một loại gia vị có tính axit được sản xuất thông qua quá trình lên men rượu vang đỏ, tạo ra hương vị đậm đà, thơm với hương vị tinh tế có nguồn gốc từ nho. Loại giấm đa năng này có màu từ hồng nhạt đến hồng ngọc đậm và chứa các hợp chất có lợi từ gốc rượu, bao gồm cả chất chống oxy hóa. Nó đặc biệt có giá trị trong ẩm thực Địa Trung Hải để làm dầu giấm, nước xốt và rau ngâm, mang lại hương vị sắc nét hơn, phức tạp hơn giấm trắng tiêu chuẩn.",75
