id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
e06938a0-80e5-5db3-9a03-3dc4534723ff,,,Mì Spaghetti (Spaghetti),INGREDIENT,367.0,13.5,2.16,71.7,4.2,1.3,2.0,0852d9bc-2e45-4277-87e8-4e9497c6f0d4,,,"Spaghetti là một loại mì ống cổ điển của Ý được làm từ bột báng lúa mì cứng, đặc trưng bởi hình dạng hình trụ dài và mỏng (bắt nguồn từ từ tiếng Ý có nghĩa là 'những sợi dây nhỏ'). Dạng mì ống khô này trở nên cứng nhưng mềm khi nấu chín vừa phải, một phương pháp chế biến giúp giảm bớt tác động về đường huyết so với mì nấu chín mềm hơn. Hàm lượng gluten cao đảm bảo tính toàn vẹn về cấu trúc trong quá trình đun sôi, khiến nó trở nên lý tưởng để kết hợp với cả nước sốt làm từ dầu ô liu nhẹ và cà chua hoặc ragus thịt thịnh soạn.",75
73ad43c9-c0f4-51d7-8681-40a31c744763,,,"Mì Spaghetti, nấu chín (Spaghetti, Cooked)",DISH,157.0,5.8,0.93,30.59,1.8,0.56,131.0,0852d9bc-2e45-4277-87e8-4e9497c6f0d4,,,"Spaghetti là một loại mì ống dài, mỏng, mềm nhưng chắc (al dente) khi được nấu đúng cách. Được làm từ bột báng lúa mì cứng, món ăn chủ yếu của Ý này cung cấp carbohydrate phức hợp để duy trì năng lượng trong khi ít chất béo tự nhiên và chứa gluten. Spaghetti nấu chín dùng làm cơ sở linh hoạt cho các loại nước sốt, từ cà chua marinara làm từ cà chua đến kem Alfredo, với các loại ngũ cốc nguyên hạt cung cấp hàm lượng chất xơ cao hơn so với các phiên bản bột tinh chế truyền thống.",75
011677df-b7c0-5cd9-b265-3fb24bca459a,,,Mì Penne (Penne),INGREDIENT,352.0,12.4,1.9,71.3,2.7,2.0,0.0,0852d9bc-2e45-4277-87e8-4e9497c6f0d4,,,"Penne là một loại mì ống hình trụ có đặc điểm là dạng ống với các đầu được cắt theo đường chéo, được đặt tên theo từ tiếng Ý có nghĩa là 'lông vũ' do hình dạng giống như lông vũ. Phiên bản có gờ (penne rigate) giữ nước sốt đặc biệt tốt, lý tưởng cho các món nướng và nước sốt đặc làm từ kem hoặc cà chua. Là một loại mì ống khô, nó chủ yếu cung cấp carbohydrate phức tạp với hàm lượng chất béo tối thiểu, mặc dù các loại lúa mì nguyên hạt cung cấp nhiều chất xơ và chất dinh dưỡng hơn.",75
9e8acd64-403b-55cf-8051-d539548bc741,,,"Mì Macaroni, nấu chín (Macaroni, Cooked)",DISH,158.0,5.8,0.93,30.86,1.2,0.56,1.0,0852d9bc-2e45-4277-87e8-4e9497c6f0d4,,,"Macaroni là một loại mì ống hình ống truyền thống được làm từ lúa mì cứng, thường mềm nhưng hơi dai sau khi luộc. Là một món ăn chủ yếu giàu carbohydrate, nó cung cấp năng lượng nhanh chóng và kết hợp tốt với nước sốt, pho mát hoặc protein trong các món ăn như mì ống và pho mát hoặc salad mì ống. Trong khi các phiên bản tiêu chuẩn có chứa gluten, các lựa chọn thay thế lúa mì nguyên hạt cung cấp thêm chất xơ cho những người đang tìm kiếm carbohydrate phức tạp.",75
e74671c7-d67c-53da-8803-a62617d23c4f,,,Mì Macaroni (Macaroni),INGREDIENT,376.0,13.8,2.21,73.4,2.85,1.33,2.38,0852d9bc-2e45-4277-87e8-4e9497c6f0d4,,,"Macaroni là một loại mì khô truyền thống có đặc điểm là hình ống ngắn, cong và màu vàng từ bột báng lúa mì cứng. Ở dạng giàu dinh dưỡng, nó có chứa thêm sắt và vitamin B (thiamine, riboflavin, niacin và axit folic) để phục hồi các chất dinh dưỡng bị mất trong quá trình xay xát. Khi đun sôi đến mức al dente, loại mì ống đa năng này có kết cấu chắc nhưng mềm, dùng làm nền tảng chính cho các món nướng, nước sốt kem và các chế phẩm cổ điển như mì ống và phô mai.",75
e82246cd-913c-57de-aec5-dde5d9df2748,,,Mì với sốt cà chua và thịt (Pasta with Tomato Sauce and Meat),DISH,129.0,7.93,5.12,13.07,3.0,2.5,250.0,0852d9bc-2e45-4277-87e8-4e9497c6f0d4,,,"Pasta với sốt cà chua và thịt là một món ăn cổ điển lấy cảm hứng từ Ý kết hợp mì ống al dente với nước sốt thơm ngon làm từ cà chua và thịt nấu chín giàu protein (thường là thịt bò xay, thịt lợn hoặc thịt gia cầm). Nước sốt cà chua cung cấp lycopene và vitamin C, trong khi thịt cung cấp protein hoàn chỉnh và chất sắt sinh học. Bữa ăn cân bằng này cung cấp carbohydrate phức tạp từ mì ống, protein nạc từ thịt và chất béo có lợi cho tim khi chế biến với dầu ô liu, với các biến thể thường bao gồm tỏi, húng quế hoặc Parmesan để tạo hương vị nhiều lớp.",80
018df77f-f8e8-52f6-86d5-98c724650c4c,,,Mì tóc thiên thần lúa mì nguyên cám (Whole Wheat Angel Hair Pasta),INGREDIENT,348.0,14.63,1.4,75.03,8.9,2.0,7.0,0852d9bc-2e45-4277-87e8-4e9497c6f0d4,,,"Pasta tóc thiên thần làm từ lúa mì nguyên cám là loại mì mỏng, tinh tế được làm từ 100% bột mì nguyên cám, giữ lại cám và mầm để có hàm lượng chất xơ cao hơn. Món thay thế bổ dưỡng này cho mì ống tinh chế truyền thống mang đến hương vị hấp dẫn và nấu chỉ trong 3-5 phút, kết hợp hoàn hảo với nước sốt nhẹ làm từ dầu ô liu hoặc rau tươi. Carbohydrate phức hợp của nó cung cấp khả năng giải phóng năng lượng bền vững đồng thời cung cấp 5-7 gam chất xơ mỗi khẩu phần, khiến nó đặc biệt thích hợp để duy trì lượng đường trong máu ổn định.",75
c3184c69-4f2b-5776-bb0b-57598caccc0b,,,Mì Lasagna (Lasagna),DISH,174.0,10.1,8.3,14.6,1.3,2.92,282.0,0852d9bc-2e45-4277-87e8-4e9497c6f0d4,,,"Lasagna là một món mì ống nướng cổ điển của Ý bao gồm các lớp mì phẳng, rộng xen kẽ, phô mai (thường là ricotta, mozzarella và Parmesan) và các loại nhân mặn như ragù thịt hoặc rau. Món thịt hầm thịnh soạn này lấy được lượng protein đáng kể từ các thành phần thịt và phô mai, được cân bằng bởi carbohydrate từ mì ống và cà chua. Các biến thể hiện đại thường kết hợp các lớp thực vật hoặc các sản phẩm thay thế từ thực vật để tăng hàm lượng chất xơ trong khi vẫn duy trì đặc tính dễ chịu, phong phú đặc trưng của nó.",75
5b84bd31-4c0e-588a-b722-937c42163dae,,,Mì nguyên hạt với sốt cà chua và rau củ (Whole Grain Pasta with Tomato Sauce and Vegetables),INGREDIENT,112.0,3.7,3.3,18.5,2.8,4.0,300.0,0852d9bc-2e45-4277-87e8-4e9497c6f0d4,,,"Mì ống nguyên hạt với sốt cà chua và rau là một bữa ăn giàu dinh dưỡng kết hợp carbohydrate phức tạp với các vitamin và chất chống oxy hóa có nguồn gốc thực vật. Mì ống làm từ lúa mì nguyên hạt cung cấp nhiều chất xơ và khoáng chất hơn so với các phiên bản tinh chế, trong khi nước sốt cà chua cung cấp lycopene và vitamin C. Các loại rau hỗn hợp như bí xanh, rau bina và ớt chuông giúp thay đổi kết cấu và đa dạng vi chất dinh dưỡng, khiến món ăn này trở thành một lựa chọn cân bằng giúp duy trì mức năng lượng lâu hơn các bữa ăn mì ống thông thường.",95
f6998914-5e9a-53dd-97d0-f99afeb7ec3f,,,"Mì Tortellini phô mai, nấu chín (Cheese Tortellini, Cooked)",DISH,236.0,10.38,5.56,36.15,2.5,1.5,350.0,0852d9bc-2e45-4277-87e8-4e9497c6f0d4,,,"Bánh tortellini phô mai là một loại mì ống nhồi hình chiếc nhẫn có nguồn gốc từ vùng Emilia-Romagna của Ý, có lớp bột làm từ lúa mì mềm bọc bên ngoài nhân kem ricotta hoặc Parmesan. Món mì nấu chín này cung cấp các chất dinh dưỡng đa lượng cân bằng, với carbohydrate từ bột báng và protein cùng với chất béo từ lõi phô mai. Thường được phục vụ trong nước dùng hoặc với nước sốt cà chua/kem, hình dạng nhỏ gọn và phần nhân đậm đà khiến món mì này chứa nhiều calo hơn nhiều loại mì ống không nhồi.",75
65c44453-a905-54ae-8d13-497bb5333ad8,,,Mì Ravioli thịt (Meat Ravioli),DISH,97.0,2.5,1.5,14.0,1.3,2.5,306.0,0852d9bc-2e45-4277-87e8-4e9497c6f0d4,,,"Meat Ravioli là món bánh bao mì Ý có nhân thơm ngon gồm các loại thịt xay được tẩm gia vị như thịt bò, thịt lợn hoặc thịt bê, thường được trộn với các loại thảo mộc và phô mai. Món ăn giàu protein này cung cấp sự cân bằng carbohydrate từ bột mì ống và chất béo bão hòa tùy thuộc vào hỗn hợp thịt, mang đến một bữa ăn thịnh soạn khi luộc và kết hợp với nước sốt marinara hoặc kem. Các phiên bản truyền thống sử dụng mì ống mỏng làm từ lúa mì, khiến chúng không phù hợp với chế độ ăn không có gluten hoặc ăn chay.",80
