id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
5063f27f-e0f2-5142-9153-909feb62707c,,,Trứng lớn (Large Eggs),INGREDIENT,143.0,12.6,9.5,1.1,0.0,1.1,124.0,5a495c98-b00c-4007-aeac-501f3ae8e030,,,"Trứng lớn là tên gọi kích thước phổ biến cho trứng gà, mỗi quả thường nặng khoảng 50 gam. Chúng là nguồn cung cấp protein chất lượng cao, vitamin và khoáng chất thiết yếu, tất cả đều được chứa trong lớp vỏ bảo vệ tự nhiên. Mặc dù trứng được biết là có chứa cholesterol, nhưng nghiên cứu hiện tại cho thấy rằng cholesterol trong chế độ ăn uống ít ảnh hưởng đến mức cholesterol trong máu đối với hầu hết mọi người so với chất béo bão hòa và chất béo chuyển hóa.",75
f75f73c6-a4f6-5f67-a202-a3c41e2d3245,,,Sữa nguyên chất (Whole Milk),INGREDIENT,63.0,3.3,3.4,4.7,0.0,4.75,41.0,5a495c98-b00c-4007-aeac-501f3ae8e030,,,"Sữa nguyên chất là một loại đồ uống từ sữa giữ được hàm lượng chất béo sữa tự nhiên khoảng 3,25%, giúp phân biệt với các loại sữa ít béo. Nó đóng vai trò là nguồn cung cấp canxi và vitamin D đáng kể, với hàm lượng chất béo góp phần tạo nên kết cấu kem và khả năng tăng cường cảm giác ngon miệng khi dùng cà phê, đồ nướng và nước sốt. Là dạng cơ bản của sữa bò, nó chứa đường tự nhiên (lactose) và cung cấp các chất dinh dưỡng thiết yếu theo tỷ lệ ban đầu.",75
1a722464-f7f7-5833-8575-19a4cce0ea04,,,Trứng bác (Scrambled Eggs),DISH,149.0,9.99,11.0,1.61,0.0,1.39,145.0,5a495c98-b00c-4007-aeac-501f3ae8e030,,,"Trứng bác là món ăn sáng giàu protein được tạo ra bằng cách nấu trứng đánh nhẹ thành sữa đông mềm, ẩm. Chúng cung cấp tất cả chín axit amin thiết yếu ở dạng có khả năng sinh học cao, khiến chúng trở thành tiêu chuẩn vàng về chất lượng protein. Kết cấu từ kem đến đặc tùy thuộc vào kỹ thuật nấu ăn, với các chất bổ sung phổ biến như sữa hoặc bơ làm tăng hàm lượng chất béo. Chế phẩm đa năng này có tác dụng tốt như một bữa ăn nhanh hoặc một phương tiện cho rau và pho mát trong nhiều nền ẩm thực khác nhau.",75
630e55a5-2137-5558-8131-289606a256aa,,,Sữa 2% ít béo (2% Reduced-Fat Milk),INGREDIENT,50.0,3.33,1.95,4.85,0.0,5.0,44.3,5a495c98-b00c-4007-aeac-501f3ae8e030,,,"Sữa ít béo 2% là sản phẩm sữa ít béo trong đó 98% trọng lượng của sữa đến từ các thành phần không béo, giữ lại các chất dinh dưỡng thiết yếu đồng thời giảm hàm lượng chất béo bão hòa. Biến thể sữa bò này trải qua quá trình loại bỏ một phần kem trong quá trình chế biến, duy trì kết cấu kem mịn hơn sữa gầy trong khi cung cấp hàm lượng canxi và protein đáng kể tương đương với sữa nguyên chất. Nó vẫn là một loại đồ uống có chứa đường sữa nhưng cung cấp một lựa chọn tầm trung cho những người cân bằng sở thích về hương vị với mục tiêu hấp thụ chất béo.",75
1666703c-70b3-5192-9077-ce7d1c384d42,,,Sữa tách béo (Nonfat Milk),INGREDIENT,34.0,3.37,0.08,4.96,0.0,5.09,42.0,5a495c98-b00c-4007-aeac-501f3ae8e030,,,"Sữa không béo (thường được gọi là sữa gầy) là một sản phẩm từ sữa trong đó gần như toàn bộ chất béo trong sữa đã được loại bỏ thông qua quá trình ly tâm, dẫn đến hàm lượng chất béo dưới 0,5%. Nó duy trì hàm lượng canxi và protein cao trong sữa nguyên chất trong khi cung cấp ít calo hơn và không có chất béo bão hòa, khiến nó trở thành thực phẩm chủ yếu cho chế độ ăn ít chất béo và kiểm soát cân nặng. Hầu hết các giống thương mại đều được bổ sung vitamin A và D để thay thế những vitamin bị mất trong quá trình chế biến, duy trì giá trị dinh dưỡng mặc dù hàm lượng chất béo giảm.",75
3e52e504-fa39-5fdd-9978-058d1c238795,,,Trứng cỡ vừa (Medium Eggs),INGREDIENT,143.0,12.6,9.51,0.72,0.0,0.37,142.0,5a495c98-b00c-4007-aeac-501f3ae8e030,,,"Trứng cỡ trung bình là nguồn thực phẩm đa năng và giàu dinh dưỡng, cung cấp sự cân bằng tốt về protein, chất béo lành mạnh cũng như các vitamin và khoáng chất thiết yếu. Ký hiệu 'trung bình' đề cập đến kích thước của chúng, thường nặng từ 50 đến 56 gram mỗi quả trứng. Chúng thường được tiêu thụ khi nấu chín theo nhiều cách khác nhau, chẳng hạn như luộc, chiên, xào hoặc nướng và là thành phần chính trong nhiều công thức nấu ăn do đặc tính liên kết và nhũ hóa của chúng.",75
7a4d6c87-2322-5833-be86-35f25e43f95b,,,Trứng chiên (Fried Egg),DISH,195.0,13.2,14.8,1.0,0.0,0.62,189.0,5a495c98-b00c-4007-aeac-501f3ae8e030,,,"Trứng chiên là quả trứng nguyên quả được nấu trong dầu nóng hoặc bơ, có lòng trắng với các cạnh giòn và lòng đỏ từ lỏng đến đặc hoàn toàn. Chế phẩm này cung cấp 6-7g protein chất lượng cao với hàm lượng chất béo thay đổi tùy theo phương pháp nấu, trong khi lòng đỏ cung cấp các chất dinh dưỡng thiết yếu như choline và vitamin D. Sự kết hợp giữa độ tương phản về kết cấu và mật độ dinh dưỡng khiến nó trở thành một thành phần linh hoạt trong đĩa ăn sáng, bánh mì sandwich và bát ngũ cốc.",75
955f039b-4279-5088-aaee-df8a0472ccdf,,,Sữa 1% ít béo (1% Low-Fat Milk),INGREDIENT,42.0,3.37,0.97,5.0,0.0,5.0,42.0,5a495c98-b00c-4007-aeac-501f3ae8e030,,,"Sữa ít béo 1% là sản phẩm sữa ít béo chứa khoảng 1% chất béo sữa tính theo trọng lượng, đạt được thông qua quá trình tách ly tâm sữa nguyên chất. Nó giữ lại hàm lượng protein và canxi hoàn chỉnh của sữa nguyên chất đồng thời cung cấp ít hơn 40% lượng calo và ít chất béo bão hòa hơn, duy trì cơ thể nhẹ nhàng hơn sữa nguyên chất nhưng cảm giác ngon miệng hơn so với các loại không béo. Tùy chọn cân bằng dinh dưỡng này đóng vai trò là cơ sở linh hoạt cho đồ uống, ngũ cốc và các công thức nấu ăn yêu cầu hàm lượng chất béo vừa phải.",75
869f5502-ee28-5e41-8b90-89a76d593a84,,,Sữa yến mạch (Oat Milk),INGREDIENT,48.3,0.8,2.75,5.1,0.0,2.32,42.0,5a495c98-b00c-4007-aeac-501f3ae8e030,,,"Sữa yến mạch là một loại sữa thay thế có nguồn gốc thực vật được làm bằng cách trộn yến mạch đã ngâm với nước và lọc hỗn hợp để tạo ra một loại đồ uống mịn, hơi ngọt. Giàu beta-glucans tự nhiên – chất xơ hòa tan có liên quan đến việc cải thiện sức khỏe tim mạch – nó thường được bổ sung canxi, vitamin D và B12 để phù hợp với thành phần dinh dưỡng của sữa bò. Tùy chọn không chứa hạt này có kết cấu dạng kem tạo bọt tốt, khiến nó trở nên phổ biến trong văn hóa cà phê, mặc dù hàm lượng carbohydrate cao hơn giúp phân biệt nó với các lựa chọn thay thế ít carb hơn như sữa hạnh nhân.",75
7aecc2a7-a106-50e3-bab7-75c0dca2126b,,,Phô mai cheddar (Cheddar Cheese),DISH,407.0,23.67,33.91,1.89,0.0,0.31,649.0,5a495c98-b00c-4007-aeac-501f3ae8e030,,,"Phô mai Cheddar là loại phô mai cứng, tự nhiên có nguồn gốc từ làng Cheddar ở Anh. Nó được làm từ sữa bò và có đặc điểm là kết cấu chắc chắn cũng như nhiều hương vị khác nhau, từ nhẹ đến đậm tùy thuộc vào quá trình lão hóa. Trong quá trình sản xuất, sữa đông được 'cheddared' nhiều lần, một quá trình xếp chồng lên nhau và chuyển sang loại váng sữa, góp phần tạo nên kết cấu và hương vị đặc biệt của nó; nó cũng là một nguồn canxi và protein tốt.",75
4349cfc2-2667-5932-a6de-552c0f416d10,,,"Sữa đậu nành ít béo, không đường (Low Fat Soy Milk, Unsweetened)",INGREDIENT,43.0,1.65,0.62,7.2,0.8,3.5,37.0,5a495c98-b00c-4007-aeac-501f3ae8e030,,,"Sữa đậu nành ít béo, không đường là một loại sữa thay thế có nguồn gốc thực vật được làm bằng cách ngâm, nghiền và lọc đậu nành, với hàm lượng chất béo giảm và không thêm đường. Phiên bản này giữ lại protein thực vật chất lượng cao của đậu nành trong khi cung cấp ít calo và carbohydrate hơn so với các loại có đường và thường được bổ sung canxi, vitamin D và B12. Hương vị trung tính và độ đặc của kem khiến nó phù hợp cho cả đồ uống và nấu ăn, đặc biệt hấp dẫn những người quản lý lượng calo nạp vào hoặc theo chế độ ăn thuần chay, không có lactose hoặc ít đường.",75
