id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
ca4f1e31-4c1b-5959-8d72-08b6263a2ec8,,,Đạm thanh (Protein Bar),DISH,412.0,30.3,15.2,38.4,7.3,15.2,436.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Thanh protein là thực phẩm bổ sung dinh dưỡng đậm đặc được thiết kế để cung cấp nguồn protein thuận tiện ở dạng ổn định. Những thanh này thường chứa 10-30 gam protein từ các nguồn như whey, đậu nành hoặc protein đậu, thường được kết hợp với chất xơ, các loại hạt và chất làm ngọt để cải thiện hương vị và kết cấu. Mặc dù được tiếp thị chủ yếu dưới dạng dinh dưỡng sau tập luyện hoặc thay thế bữa ăn, thanh protein có thể khác nhau đáng kể về thành phần dinh dưỡng, với một số loại chứa nhiều đường và chất béo như thanh kẹo.",75
9ce1979e-f3b2-5142-b0ea-ec2f1f48ae8d,,,Đạm thanh (Protein Bar),DISH,414.0,27.7,13.9,44.4,10.0,22.0,337.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Thanh protein là một món ăn nhẹ có vị ngọt, di động được thiết kế để cung cấp protein đậm đặc cùng với carbohydrate và chất béo, thường được sử dụng để phục hồi cơ bắp hoặc thay thế bữa ăn. Những thanh này thường kết hợp protein cô lập (chẳng hạn như váng sữa, đậu nành hoặc đậu Hà Lan) với chất làm ngọt như rượu đường, mật ong hoặc các chất phụ gia nhân tạo, tạo ra kết cấu dai hoặc giòn với hương vị từ sô cô la đến các loại trái cây. Mặc dù tiện lợi nhưng nhiều lựa chọn có chứa đường bổ sung hoặc rượu đường có thể ảnh hưởng đến mức đường huyết hoặc gây khó chịu về tiêu hóa ở những người nhạy cảm.",75
131914c8-25cf-5ea0-a7e4-8dc991ec324d,,,Chow Mein (Chow Mein),DISH,191.73,9.4,6.77,22.56,2.26,3.01,706.01,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Chow mein là một món ăn nhà hàng Trung Quốc gồm mì lúa mì xào với các loại rau như bắp cải, cần tây và cà rốt, thường bao gồm thịt gà hoặc các loại protein khác. Món ăn này đặc trưng bởi gia vị thơm ngon làm từ nước tương và kết cấu đặc biệt của sợi mì mềm giòn. Trong khi cung cấp sự kết hợp cân bằng giữa carbohydrate và protein, các phiên bản nhà hàng lại có hàm lượng natri cao đáng kể do các thành phần gia vị và nước sốt.",75
d3113079-3a67-564f-b8e4-ab36b1b258a8,,,Low-Fat Pretzels (Low-Fat Pretzels),DISH,384.0,10.02,2.93,80.4,3.4,2.21,1240.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Bánh quy xoắn ít béo là một món ăn nhẹ nướng được làm với hàm lượng dầu giảm để giảm thiểu chất béo trong khi vẫn giữ được hình dạng xoắn cổ điển và kết cấu dai. Những món ăn nhẹ giòn này thường sử dụng bột mì tinh chế, dẫn đến hàm lượng carbohydrate thấp hơn nhưng cao hơn so với đồ ăn nhẹ chiên như khoai tây chiên. Mặc dù phổ biến đối với chế độ ăn kiêng hạn chế calo, nhưng chúng thường chứa hàm lượng natri cao để tăng hương vị khi không có chất béo. Kết cấu khô, giòn khiến chúng đặc biệt thích hợp để kết hợp với nước chấm làm từ mù tạt hoặc mù tạt.",75
55eaf86d-cb89-57ac-bae7-4c5c1db8a029,,,"Stevia, bộted (Stevia, Powdered)",INGREDIENT,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Stevia là chất làm ngọt tự nhiên không chứa calo có nguồn gốc từ lá khô của cây Stevia rebaudiana Nam Mỹ. Dạng bột này ngọt hơn đường ăn khoảng 200-300 lần, cần số lượng tối thiểu để làm đồ uống ngọt, đồ nướng và món tráng miệng. Là một chất thay thế đường có nguồn gốc thực vật, nó không chứa carbohydrate và không có tác động đến đường huyết, khiến nó trở nên phổ biến trong chế độ ăn kiêng cho bệnh nhân tiểu đường và ketogenic. Bột cô đặc trải qua quá trình xử lý rộng rãi để loại bỏ vị đắng trong khi vẫn giữ được hương vị ngọt ngào đặc trưng với dư vị nhẹ giống cam thảo.",75
e15d4169-f98a-5492-a4f4-54370db8a94c,,,Vegetarian Burritos (Vegetarian Burritos),DISH,150.0,9.0,3.5,20.5,3.0,2.7,330.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Bánh burritos chay là một món ăn lấy cảm hứng từ Mexico bao gồm một chiếc bánh tortilla làm từ bột mì bọc quanh nhân làm từ thực vật, thường có các thành phần như đậu, gạo, rau xào và thường là phô mai hoặc bơ. Những chiếc burritos này cung cấp các chất dinh dưỡng đa lượng cân bằng với chất xơ đáng chú ý từ ngũ cốc nguyên hạt và các loại đậu, cùng với protein thực vật từ đậu hoặc các sản phẩm thay thế thịt. Mặc dù nướng chảo truyền thống để có bề ngoài giòn, nhưng các biến thể có thể bao gồm các lựa chọn thay thế không có sữa để phù hợp với chế độ ăn thuần chay.",75
322546f3-fbf9-5190-b329-a98713a8d39a,,,Light Italian Dressing (Light Italian Dressing),DISH,102.0,0.39,6.68,9.99,0.0,9.16,891.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Nước xốt kiểu Ý nhẹ là một phiên bản ít calo của loại dầu giấm cổ điển, được đặc trưng bởi hương vị ngọt và thơm cân bằng. Biến thể này thường sử dụng đường hoặc chất làm ngọt thay thế để bù đắp độ axit trong khi vẫn duy trì hàm lượng chất béo thấp hơn thông qua việc giảm tỷ lệ dầu so với nước sốt Ý thông thường. Độ đặc mỏng của nó hoạt động tốt như lớp phủ salad hoặc lớp nền ướp, mặc dù một số phiên bản có thể bù đắp sự mất kết cấu bằng cách bổ sung thêm chất ổn định.",75
725cc2de-f079-50ac-bb8e-498d6fc6b556,,,Nguyên Wheat Tagliatelle (Whole Wheat Tagliatelle),INGREDIENT,350.0,14.3,2.2,74.0,11.0,2.5,5.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Tagliatelle lúa mì nguyên hạt là loại mì ống có hình dải ruy băng được làm từ bột mì nguyên hạt, giữ lại cám và mầm để có mật độ chất xơ và chất dinh dưỡng cao hơn so với phiên bản tinh chế. Hương vị hấp dẫn và kết cấu hơi dai của nó bổ sung cho các loại nước sốt thịnh soạn như ragù hoặc hỗn hợp rau củ nướng, đồng thời cung cấp năng lượng bền vững từ carbohydrate phức tạp. Mặc dù không chứa gluten nhưng loại mì ống này cung cấp một lựa chọn thay thế giàu dinh dưỡng cho những người ưu tiên ngũ cốc nguyên hạt trong các món ăn kiểu Ý truyền thống.",75
0e106c42-9193-5c78-a288-75a63a595a46,,,Lontaloupe (Cantaloupe),INGREDIENT,34.0,0.84,0.19,8.16,0.8,7.86,16.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Dưa đỏ là một loại dưa ngọt, thơm thuộc họ dưa lưới, được nhận biết bởi vỏ lưới màu be và thịt màu cam rực rỡ. Loại trái cây dưỡng ẩm này cung cấp vitamin A và C đáng kể trong mỗi khẩu phần, với hàm lượng nước cao khiến nó đặc biệt sảng khoái khi ướp lạnh. Hàm lượng calo thấp và đường tự nhiên khiến nó trở thành một món ăn nhẹ giàu chất dinh dưỡng, trong khi beta-carotene đậm đặc trong thịt nó góp phần tạo màu sắc và mang lại lợi ích chống oxy hóa.",75
4cecc136-4f33-5632-818d-f5fbfb8cc126,,,"Halibut, đã nấu (Halibut, Cooked)",DISH,111.0,22.5,1.61,0.0,0.0,0.0,82.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Cá bơn nấu chín là loại cá nạc, thịt trắng được biết đến với kết cấu chắc và hương vị nhẹ, hơi ngọt. Là một loại cá nấu chín, nó cung cấp nguồn protein chất lượng cao trong khi vẫn có lượng chất béo tương đối thấp. Cá bơn là một loại cá đa năng có thể được chế biến bằng nhiều phương pháp nấu khác nhau, bao gồm nướng, nướng vỉ và áp chảo, mặc dù nấu quá chín có thể dẫn đến khô cá. Do lo ngại về việc đánh bắt quá mức, nên tìm nguồn cung ứng từ nghề cá bền vững.",75
