id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
a4739617-5b89-5089-b32c-bab0523bc202,,,Súp nước dùng gà ăn liền (Instant Chicken Broth Soup),INGREDIENT,267.0,16.7,13.9,18.0,0.0,17.4,23900.0,858156f4-0c43-40f6-b7d6-9d2f1d491e33,,,"Súp nước dùng gà ăn liền là sản phẩm gia vị khử nước được thiết kế để tạo ra nước dùng thơm ngon nhanh chóng bằng cách hòa tan trong nước nóng. Mặc dù tiện lợi nhưng nó thường chứa hàm lượng natri cao và có thể bao gồm các chất phụ gia như bột ngọt (MSG) hoặc chất tăng cường hương vị nhân tạo để bắt chước nước luộc chậm. Loại thực phẩm chủ yếu này dùng làm cơ sở cho các món súp, nước sốt và các món ngũ cốc nhưng những người theo dõi lượng muối nên sử dụng một cách thận trọng.",75
a51b79f8-1ba5-5c95-9768-06cca4945da7,,,"Súp mì gà ăn liền có hương vị (Instant Chicken Noodle Soup, Flavored)",INGREDIENT,377.0,15.42,6.51,62.32,3.2,1.9,3643.0,858156f4-0c43-40f6-b7d6-9d2f1d491e33,,,"Phở gà ăn liền (khô) là thực phẩm tiện lợi có giá bán ổn định, kết hợp mì khô với bột hương gà chứa gia vị, rau khô và nước dùng đậm đặc. Được thiết kế để chuẩn bị nhanh chóng, nó được pha chế thành súp làm từ nước dùng với nước nóng nhưng thường chứa hàm lượng natri cao—thường vượt quá 800mg mỗi khẩu phần—cùng với các chất phụ gia như bột ngọt (MSG) để tăng hương vị. Mặc dù cung cấp lượng carbohydrate vừa phải từ mì và lượng protein tối thiểu, nhưng nó đóng vai trò như một món ăn chủ yếu trong tủ đựng thức ăn di động hơn là một bữa ăn cân bằng dinh dưỡng.",75
13a80ed0-0e63-5d2d-a72c-6c29258c54b6,,,Súp mì chay ăn liền (Instant Vegetarian Noodle Soup),DISH,440.0,10.2,17.6,60.3,2.9,1.98,1860.0,858156f4-0c43-40f6-b7d6-9d2f1d491e33,,,"Bún chay ăn liền là một bữa ăn tiện lợi có sẵn trong kho bao gồm rau củ đã khử nước, gia vị và mì nấu sẵn được thiết kế để chuẩn bị nhanh chóng. Mặc dù được tiếp thị là có nguồn gốc từ thực vật, nhiều loại phụ thuộc nhiều vào các chất tăng hương vị giàu natri như bột ngọt và thiếu lượng protein hoặc chất xơ đáng kể so với các phiên bản mới làm. Mì thường được chiên nhanh trong quá trình chế biến, góp phần tạo ra hàm lượng chất béo cao hơn so với các loại mì thay thế được sấy khô trong không khí, mặc dù sản phẩm này vẫn được ưa chuộng vì thời gian nấu tối thiểu và khả năng tiếp cận người ăn chay.",75
aac0bfd8-8a77-5a9e-9963-1406d10f2c12,,,Súp đậu lăng (Lentil Soup),DISH,64.0,3.93,1.19,9.63,1.95,0.8,202.0,858156f4-0c43-40f6-b7d6-9d2f1d491e33,,,"Súp đậu lăng là một món ăn giàu chất dinh dưỡng gồm đậu lăng nấu chín ninh với các loại rau như cà rốt, hành tây và cà chua trong nước dùng có gia vị. Bữa ăn giàu protein và chất xơ này cung cấp lượng sắt và folate đáng kể, với nhiều biến thể từ các món ăn toàn cầu, từ các phiên bản tẩm gia vị của Ma-rốc đến các chế phẩm tẩm thảo mộc của Ý. Kết cấu của nó từ dai đến nhuyễn tùy thuộc vào loại đậu lăng và nó dễ dàng thích ứng với nhu cầu ăn chay, không chứa gluten hoặc ít chất béo trong khi vẫn duy trì được cảm giác hài lòng.",75
e40d0217-0ac9-5231-92b9-70478438f67e,,,Súp mì gà ăn liền (Instant Chicken Noodle Soup),INGREDIENT,377.0,15.4,6.51,62.3,3.2,1.9,3402.0,858156f4-0c43-40f6-b7d6-9d2f1d491e33,,,"Súp phở gà ăn liền là một bữa ăn khử nước có sẵn trong thời gian bảo quản bao gồm mì khô, rau và gia vị được pha chế bằng nước nóng. Mặc dù tiện lợi nhưng nó thường chứa lượng natri cao hơn đáng kể so với các phiên bản tự làm và cung cấp ít protein hơn do hàm lượng thịt gà thực tế rất ít. Nước cốt thường có hương vị từ bột gia vị và chất bảo quản, khiến nó trở thành một lựa chọn nhanh chóng nhưng hạn chế về mặt dinh dưỡng so với các chế phẩm tươi.",75
2837e525-df71-57c8-ba5a-3bf5c3f05b02,,,Súp mì ăn liền vị cay (Spicy Instant Noodle Soup),DISH,433.0,9.6,15.6,58.5,3.0,3.0,1807.0,858156f4-0c43-40f6-b7d6-9d2f1d491e33,,,"Mì ăn liền cay là một loại thực phẩm tiện lợi đóng gói sẵn bao gồm mì đã khử nước kết hợp với hỗn hợp bột gia vị thường chứa ớt, tỏi và chất tăng hương vị nhân tạo. Mặc dù được đánh giá cao nhờ chế biến nhanh chóng và hương vị đậm đà, bữa ăn ổn định này thường chứa hàm lượng natri cực cao—thường vượt quá 1500mg mỗi khẩu phần—cùng với chất bảo quản và bột ngọt (MSG). Quá trình nấu chỉ đơn giản yêu cầu luộc mì trong nước trước khi cho gói gia vị vào, nhưng nhược điểm về dinh dưỡng bao gồm lượng protein tối thiểu, chất xơ không đáng kể và chất béo chuyển hóa tiềm ẩn từ dầu cọ ở một số nhãn hiệu.",75
656aecd9-a460-5113-96a0-95df70692bc3,,,Súp cà chua (Tomato Soup),DISH,64.8,1.24,1.46,11.7,0.6,6.5,467.0,858156f4-0c43-40f6-b7d6-9d2f1d491e33,,,"Súp cà chua là một món ăn ấm, dạng lỏng, chủ yếu bao gồm cà chua nấu chín trộn với các chất thơm như hành, tỏi và rau thơm. Món súp này cung cấp đáng kể lycopene — một chất chống oxy hóa có liên quan đến sức khỏe tim mạch — và vitamin C, mặc dù hàm lượng natri khác nhau giữa các phiên bản tự làm và thương mại. Các chế phẩm làm từ kem mang lại kết cấu đậm đà hơn với hàm lượng chất béo cao hơn, trong khi các loại làm từ nước dùng duy trì cấu hình nhẹ hơn, thường được dùng kèm với bánh mì kẹp phô mai nướng để tạo nên một món ăn cổ điển kết hợp thoải mái.",75
d0f00e6b-b7f8-549a-bffa-1393fa89585a,,,Súp rau củ thịt bò (Beef Vegetable Soup),DISH,50.0,3.14,1.11,6.89,1.3,1.18,307.0,858156f4-0c43-40f6-b7d6-9d2f1d491e33,,,"Súp rau bò là món hầm thịnh soạn, nấu chậm kết hợp những miếng thịt bò mềm với các loại rau giàu dinh dưỡng như cà rốt, cần tây và khoai tây trong nước dùng thơm ngon. Bữa ăn cân bằng này cung cấp lượng protein đáng kể từ thịt bò cùng với chất xơ và các vitamin thiết yếu từ rau, mặc dù hàm lượng natri thay đổi đáng kể giữa phiên bản tự làm và phiên bản đóng hộp. Quá trình ninh nhừ kéo dài tạo ra hương vị phong phú đồng thời làm cho những miếng thịt dai hơn dễ tiêu hóa hơn và công thức này thích ứng tốt với việc thay thế rau theo mùa.",75
14946773-11d5-53e9-b44d-3bf024cbecb2,,,Súp mì tôm ăn liền (Shrimp Instant Noodle Soup),DISH,78.0,4.83,2.15,9.48,0.5,1.0,350.0,858156f4-0c43-40f6-b7d6-9d2f1d491e33,,,"Bún tôm ăn liền là món ăn khô đóng gói sẵn kết hợp giữa mì lúa mì và gia vị có hương vị tôm. Sản phẩm thường chứa hàm lượng natri cao từ chất tăng cường hương vị và chất bảo quản, cùng với carbohydrate tinh chế từ mì chế biến, đồng thời cung cấp lượng protein tối thiểu từ chiết xuất tôm hoặc động vật có vỏ đã khử nước. Được chế biến bằng cách bù nước trong nước sôi để tiêu thụ nhanh, nó mang lại vị umami thơm ngon nhưng cần xem xét đến các chất gây dị ứng động vật có vỏ và hàm lượng gluten.",75
f99a736b-3486-5267-b7b3-aaa392e45340,,,Súp nước dùng rau củ ăn liền (Instant Vegetable Broth Soup),INGREDIENT,200.0,2.4,0.7,9.5,0.0,1.8,2400.0,858156f4-0c43-40f6-b7d6-9d2f1d491e33,,,"Súp nước luộc rau ăn liền là hỗn hợp khử nước của rau khô, gia vị và muối được thiết kế để chuẩn bị nhanh chóng bằng cách thêm nước nóng. Mặc dù mang lại sự tiện lợi của một loại đế ổn định cho các món súp và công thức nấu ăn, nhưng nó thường chứa hàm lượng natri đậm đặc so với nước dùng tươi, mặc dù một số phiên bản có thêm vitamin hoặc các tùy chọn giảm natri. Món ăn chủ yếu này cung cấp nền tảng thực vật cho bữa ăn nhưng cần chú ý đến danh sách thành phần các chất phụ gia như bột ngọt hoặc chất bảo quản.",75
