id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
d711e17c-9bda-5b57-995d-6e7fb0bb07c2,,,Yến mạch cán dẹt (Rolled Oats),INGREDIENT,371.0,13.2,6.9,68.2,10.4,1.03,4.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Yến mạch cán (thường gọi là yến mạch kiểu cũ) là loại yến mạch nguyên hạt đã được hấp chín và cán mỏng thành từng miếng, giữ lại lớp cám giàu dinh dưỡng. Quá trình xử lý này tạo ra yến mạch nấu nhanh hơn với kết cấu mềm nhưng dai khi chế biến, đồng thời duy trì hàm lượng cao chất xơ hòa tan beta-glucan có lợi cho tim. Là loại ngũ cốc nguyên hạt không chứa gluten tự nhiên, chúng đóng vai trò là nguyên liệu linh hoạt cho bột yến mạch, bánh nướng và granola tự làm, cung cấp năng lượng bền vững từ carbohydrate phức hợp và protein từ thực vật.",75
e797b7b5-fa0a-559d-b9f0-11a55660becb,,,Bánh mì nguyên cám (Whole Wheat Bread),DISH,257.0,11.35,3.27,44.92,6.2,3.85,529.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Bánh mì nguyên hạt là một loại bánh nướng giàu dinh dưỡng được làm từ bột mì giữ lại cả ba phần của hạt lúa mì - cám, mầm và nội nhũ. Cấu trúc ngũ cốc hoàn chỉnh này cung cấp nhiều chất xơ, vitamin B và magiê hơn đáng kể so với bánh mì trắng, đồng thời mang lại kết cấu đậm đà hơn và hương vị hấp dẫn. Cám và mầm còn nguyên vẹn làm cho nó trở thành nguồn carbohydrate tiêu hóa chậm, mặc dù nó vẫn chứa gluten và không phù hợp với những người nhạy cảm với lúa mì.",75
c2b07636-69da-51a7-990b-2e374c913771,,,"Cod, Nấu chín (Cod, Cooked)",DISH,105.0,22.8,0.86,0.0,0.0,0.0,78.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Cá tuyết nấu chín là loại cá nạc, có thịt trắng, nổi tiếng với hương vị nhẹ và kết cấu xốp. Là một loại cá nấu chín, nó cung cấp nguồn protein chất lượng cao trong khi vẫn rất ít chất béo, khiến nó trở thành lựa chọn bổ dưỡng cho nhiều chế độ ăn kiêng khác nhau. Cá tuyết thường được chế biến bằng cách nướng, hấp hoặc chiên trên chảo và hương vị tinh tế của nó kết hợp tốt với nhiều loại gia vị và nước sốt.",88
9f1d5501-a213-5ac8-9dea-c9e30d140e51,,,"Tilapia, Tươi sống (Tilapia, Raw)",INGREDIENT,96.0,20.1,1.7,0.0,0.0,0.0,52.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Cá rô phi là loài cá nước ngọt có hương vị nhẹ được nuôi rộng rãi trên toàn cầu, được công nhận về hàm lượng protein nạc và hàm lượng chất béo bão hòa thấp. Loại cá trắng đa năng này có hàm lượng thủy ngân thấp so với nhiều loại hải sản khác, khiến nó trở thành lựa chọn phổ biến để tiêu thụ thường xuyên. Khi còn sống, thịt của nó có vẻ bán trong suốt với màu hồng nhạt, trở nên cứng và bong tróc khi nấu bằng các phương pháp như nướng, nướng vỉ hoặc áp chảo. Đặc điểm hương vị trung tính của nó cho phép nó thích ứng tốt với các loại gia vị đa dạng và ẩm thực toàn cầu từ món xào châu Á đến bánh taco Mexico.",75
b371d4aa-ec3e-52b5-8251-2376fdf89f49,,,"White tôm, Tươi sống (White Shrimp, Raw)",INGREDIENT,70.0,13.0,1.0,1.0,0.0,0.0,500.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Tôm thẻ chân trắng là loài giáp xác đánh bắt tự nhiên hoặc nuôi trong trang trại (Litopenaeus setiferus) có nguồn gốc từ Đại Tây Dương và Vịnh Mexico, được đánh giá cao nhờ hương vị ngọt ngào, nhẹ nhàng và kết cấu chắc chắn. Loại hải sản nạc này cung cấp 20g protein cho mỗi khẩu phần 3 ounce với lượng chất béo tối thiểu, mặc dù nó chứa hàm lượng cholesterol cao hơn hầu hết các loại cá. Thịt tôm sống màu xám mờ chuyển sang màu trắng đục khi nấu chín, giúp nó có thể chế biến nhanh chóng như nướng, áp chảo hoặc luộc trong thời gian dưới 5 phút.",88
d46094e9-e90c-5b1e-bfe1-d7706d6a7c70,,,Nướng Fish (Baked Fish),DISH,128.0,26.0,2.5,0.0,0.0,0.0,55.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Cá nướng là một phương pháp chế biến protein nạc để nấu phi lê cá hoặc cá nguyên con bằng nhiệt khô, thường không thêm chất béo. Kỹ thuật này bảo tồn độ ẩm và chất dinh dưỡng tự nhiên của cá, đặc biệt là axit béo omega-3 trong các loại cá như cá hồi, đồng thời duy trì hàm lượng calo và chất béo bão hòa thấp hơn so với các món chiên. Hương vị nhẹ thích hợp với các loại thảo mộc, cam quýt hoặc gia vị, thường được nấu trong giấy da hoặc giấy bạc để tăng độ mềm, khiến nó trở thành món ăn chủ yếu trong chế độ ăn tốt cho tim mạch, ít carb và không chứa gluten.",88
285c4d16-df89-5b58-9212-66080955f84e,,,"Steelhead Trout, Nấu chín (Steelhead Trout, Cooked)",DISH,159.0,21.0,8.3,0.0,0.0,0.0,118.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Cá hồi đầu thép nấu chín là một loại cá có hương vị và bổ dưỡng có họ hàng gần với cá hồi. Loại cá này là nguồn cung cấp protein nạc và axit béo omega-3 tuyệt vời, góp phần tăng cường sức khỏe tim mạch và sức khỏe tổng thể. Việc nấu nướng làm tăng hương vị tinh tế và kết cấu mềm mại của nó, khiến nó trở thành một lựa chọn linh hoạt cho các chế phẩm ẩm thực khác nhau, từ nướng và nướng bánh cho đến áp chảo.",75
b68169f4-35bb-5882-b7ea-df9d70c3aa76,,,"Flounder, Nấu chín (Flounder, Cooked)",DISH,82.0,15.0,2.0,0.0,0.0,0.0,360.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Cá bơn nấu chín là loại cá trắng nạc, có hương vị nhẹ, nổi tiếng với kết cấu mềm, mịn. Là một loại cá nấu chín, nó cung cấp nguồn protein chất lượng cao với lượng chất béo tối thiểu, khiến nó trở thành một lựa chọn tốt cho tim mạch. Hương vị tinh tế của cá bơn khiến nó trở nên linh hoạt cho các phương pháp nấu ăn khác nhau, bao gồm nướng, áp chảo và hấp, đồng thời nó dễ dàng hấp thụ hương vị của nước sốt và gia vị đi kèm.",75
99f07d52-09e6-55c4-b020-ca509423681a,,,"Sockeye cá hồi, Tươi sống (Sockeye Salmon, Raw)",INGREDIENT,139.0,21.9,5.6,0.0,0.0,0.0,76.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Cá hồi Sockeye là một loài cá Thái Bình Dương đánh bắt tự nhiên được phân biệt bởi thịt màu đỏ đậm và kết cấu chắc, là kết quả của chế độ ăn nhuyễn thể và sinh vật phù du giàu astaxanthin. Loại cá giàu dinh dưỡng này cung cấp axit béo omega-3 cao hơn đáng kể so với hầu hết các giống cá hồi nuôi, cùng với 23g protein trên mỗi khẩu phần 3 ounce và vitamin D tự nhiên. Mặc dù thường được nướng hoặc nướng, dạng thô cao cấp của nó yêu cầu các tiêu chuẩn nghiêm ngặt về độ tươi để tiêu thụ an toàn trong món sushi hoặc ceviche.",88
20ac31fa-dd52-5fe6-9674-cab988f05277,,,Salad cá ngừ bánh mì kẹp (Tuna Salad Sandwich),DISH,224.0,12.4,11.4,18.1,0.9,2.63,394.5,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Sandwich Salad cá ngừ là món ăn trưa giàu protein kết hợp cá ngừ vảy với nước sốt làm từ sốt mayonnaise, thường được tăng cường với cần tây giòn, hành tây và các loại thảo mộc như thì là. Trong khi cung cấp đáng kể axit béo omega-3 từ cá, các phiên bản truyền thống có thể chứa nhiều calo do hàm lượng sốt mayonnaise, mặc dù nhiều biến thể hiện đại thay thế sữa chua Hy Lạp hoặc bơ để giảm chất béo. Bánh sandwich thường được phục vụ ướp lạnh trên bánh mì hoặc bánh mì cuộn, mang lại sự cân bằng giữa kết cấu kem và hương vị mặn phù hợp với các lựa chọn thay thế ngũ cốc nguyên hạt hoặc ít carb.",88
b71498ae-696c-5d7d-b632-72198b0c05f3,,,"Trout, Nấu chín (Trout, Cooked)",DISH,169.0,24.4,7.22,0.0,0.0,0.0,61.33,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Cá hồi nấu chín là một loại cá nước ngọt được công nhận vì hương vị tinh tế và kết cấu mịn. Là một loại cá nấu chín, nó cung cấp nguồn protein nạc chất lượng cao và giàu axit béo omega-3, góp phần tăng cường sức khỏe tim mạch. Hương vị thay đổi một chút tùy thuộc vào việc cá hồi được đánh bắt tự nhiên hay được nuôi, với cá hồi hoang dã thường có hương vị đất rõ rệt hơn.",75
d82ef346-51c8-5f9e-b6b4-6f8a9d837c83,,,Cá ngừ Melt bánh mì kẹp (Tuna Melt Sandwich),DISH,260.0,15.0,15.3,17.0,2.5,3.0,850.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Sandwich cá ngừ tan chảy là một loại bánh sandwich nướng nóng kết hợp salad cá ngừ giàu protein với phô mai tan chảy, điển hình là cheddar hoặc Thụy Sĩ. Trong khi cá ngừ cung cấp protein nạc và axit béo omega-3, các chế phẩm truyền thống sử dụng sốt mayonnaise và nướng bánh mì bơ làm tăng đáng kể hàm lượng chất béo bão hòa và calo. Món ăn cổ điển này đạt được kết cấu đặc trưng thông qua việc ép chảo hoặc nướng vỉ, tạo ra bề ngoài sắc nét tương phản với phần nhân kem.",88
765883d4-bc86-5861-b2d3-b3f6dddda449,,,"Pacific cá hồi, Tươi sống (Pacific Salmon, Raw)",INGREDIENT,106.12,21.2,2.3,0.0,0.0,0.0,67.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Cá hồi Thái Bình Dương là một loài cá nước lạnh béo có nguồn gốc từ phía bắc Thái Bình Dương, nổi tiếng với hàm lượng axit béo omega-3 EPA và DHA đặc biệt cao hỗ trợ sức khỏe tim và não. Thịt sống có màu đỏ cam rực rỡ với kết cấu mịn như bơ, khiến nó trở thành lựa chọn phổ biến cho món sushi, sashimi và các chế phẩm được xử lý khi được xử lý như loại sushi. Các giống cá hồi đánh bắt tự nhiên từ vùng biển Alaska thường chứa nồng độ chất béo có lợi cao hơn và ít chất gây ô nhiễm hơn cá hồi nuôi, đồng thời cung cấp một lượng đáng kể vitamin D và selen ở trạng thái chưa nấu chín.",88
7d164744-2f28-54e2-a8dc-c03692ac67c4,,,"Sockeye cá hồi, Nấu chín (Sockeye Salmon, Cooked)",DISH,156.0,26.5,5.57,0.0,0.0,0.0,92.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Cá hồi sockeye nấu chín là một loại cá béo có hương vị và bổ dưỡng được phân biệt bởi thịt màu đỏ cam rực rỡ. Màu sắc này xuất phát từ chế độ ăn nhiều nhuyễn thể và các loài giáp xác khác. Cá hồi Sockeye là nguồn cung cấp axit béo omega-3 tuyệt vời, được biết đến với lợi ích cho sức khỏe tim mạch và mang lại hương vị cá hồi đậm đà hơn, rõ rệt hơn so với các loại cá hồi khác.",88
02a74294-b909-5393-9822-0976c491eb78,,,"Không da Tilapia Fillet, Tươi sống (Skinless Tilapia Fillet, Raw)",INGREDIENT,96.0,20.1,1.7,0.0,0.0,0.0,52.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Phi lê cá rô phi không da là một loại cá nước ngọt có hương vị nhẹ thường được nuôi ở trang trại vì hàm lượng protein nạc và ứng dụng ẩm thực linh hoạt. Loài cá trắng này cung cấp nguồn dinh dưỡng thiết yếu ít chất béo bao gồm vitamin B12 và selen, với hàm lượng thủy ngân thấp hơn so với nhiều loài cá săn mồi lớn hơn. Kết cấu mềm, mịn thích hợp với việc nướng, nướng hoặc áp chảo, trong khi hương vị trung tính của nó phù hợp với các cách tiếp cận gia vị đa dạng.",75
45c4279d-7270-5435-a135-bdffd0f0aa25,,,Pink cá hồi (Pink Salmon),INGREDIENT,127.0,20.5,4.4,0.0,0.0,0.0,71.5,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Cá hồi hồng là loài cá hồi Thái Bình Dương được đánh bắt tự nhiên bởi thịt màu hồng nhạt và hương vị nhẹ so với các giống cá hồi đậm đà hơn. Loại cá nạc này cung cấp protein chất lượng cao và axit béo omega-3, với hàm lượng chất béo thấp hơn cá hồi Đại Tây Dương, cùng với các vitamin B và selen đáng chú ý. Kết cấu tinh tế của nó có khả năng chịu đựng tốt khi nướng và nướng, đồng thời vẫn là sự lựa chọn hải sản bền vững do dân số dồi dào ở vùng biển phía bắc Thái Bình Dương.",88
334b1ee1-e844-584d-9d36-5cfcbc6f65ef,,,"Đóng hộp Tongol cá ngừ in dầu, Drained (Canned Tongol Tuna in Oil, Drained)",INGREDIENT,198.0,29.1,8.21,0.0,0.0,0.0,416.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Cá ngừ Tongol ngâm dầu đóng hộp, ráo nước là một sản phẩm hải sản chế biến sẵn được làm từ loài cá ngừ Tongol (*Thunnus tonggol*), được công nhận vì kích thước nhỏ hơn và hàm lượng thủy ngân thấp hơn so với các giống cá ngừ lớn hơn. Cá được nấu trong dầu thực vật trong quá trình đóng hộp, sau đó để ráo nước để giảm lượng mỡ dư thừa trong khi vẫn giữ được mật độ protein cao, mang đến lựa chọn nạc hơn so với cá ngừ đóng hộp dầu không ráo nước. Kết cấu mềm, mịn và hương vị dịu nhẹ của nó phù hợp với các món ăn nguội như salad và bánh mì sandwich, mặc dù nồng độ natri vẫn tăng cao do yêu cầu bảo quản.",75
e34573aa-7459-5b52-b2a1-5c289d250766,,,Nướng Tilapia (Baked Tilapia),DISH,129.0,26.2,2.65,0.0,0.0,0.0,56.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Cá rô phi nướng là một loại cá nước ngọt có hương vị nhẹ được biết đến với hàm lượng protein nạc và kết cấu mềm, bong tróc khi nấu chín. Phương pháp chế biến này bảo toàn độ ẩm mà không cần thêm chất béo, khiến nó trở thành một lựa chọn ít calo, giàu vitamin B12 và selen. Đặc điểm hương vị trung tính của nó cho phép nó kết hợp tốt với các loại gia vị đậm đà, nước xốt cam quýt hoặc trang trí bằng thảo mộc đơn giản, mang lại sự linh hoạt trong việc lập kế hoạch bữa ăn cho chế độ ăn kiêng có lợi cho sức khỏe.",75
9cc8cb05-3719-5ab9-8e82-c42ae939d3c6,,,"Skipjack cá ngừ, đóng hộp in dầu, Drained (Skipjack Tuna, Canned in Oil, Drained)",INGREDIENT,198.0,29.1,8.21,0.0,0.0,0.0,416.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Cá ngừ vằn là loài cá nước mặn thường được bảo quản trong dầu và được bán trong các hộp có thời hạn sử dụng ổn định, với chế phẩm ráo nước giúp giảm lượng dầu thừa trong khi vẫn giữ được kết cấu ẩm, chắc. Loại này cung cấp protein đậm đặc và axit béo omega-3 nhưng chứa nhiều calo và natri hơn so với các loại đóng gói bằng nước do nước muối dầu. Hương vị đậm đà, thơm ngon của nó làm cho nó trở thành nguồn protein thiết thực cho món salad, bánh mì sandwich và các bữa ăn nhanh, mặc dù quá trình đóng hộp làm mềm thịt so với cá ngừ tươi nấu chín.",75
690e4a49-5be6-5e0f-8696-8ffdd1ff980d,,,"Chinook (Pacific) cá hồi, sống (Chinook (Pacific) Salmon, Raw)",INGREDIENT,179.0,19.9,10.4,0.0,0.0,0.0,47.0,34d3024c-4bb7-46a0-8480-f45f99dd3d32,,,"Cá hồi Chinook, còn được gọi là cá hồi King, là loại cá cao cấp ở Thái Bình Dương được biết đến với hàm lượng axit béo omega-3 cao và kết cấu béo ngậy như bơ. Loại cá hồi đánh bắt tự nhiên này chứa nhiều chất béo hơn đáng kể so với các loài cá hồi khác, khiến thịt sống của nó có màu đỏ cam rực rỡ và độ mềm mịn lý tưởng để chế biến món sushi. Mặc dù thường được phục vụ sống trong món sashimi, nhưng nó vẫn có giá trị như nhau khi nướng hoặc nướng nhờ hương vị đậm đà và đặc tính dinh dưỡng tốt cho tim.",88
