id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
745226b7-e3aa-57e1-a7fb-0bd27db12acb,,,Trứng luộc chín (Hard-Boiled Eggs),DISH,144.0,12.3,10.0,1.22,0.0,0.73,125.0,bef265e7-b8f4-4c9d-a8b3-c6c189ced1e8,,,"Trứng luộc chín là trứng nguyên quả được nấu nguyên vỏ cho đến khi cả lòng trắng và lòng đỏ đông lại, tạo ra nguồn protein di động với độ tươi lâu dài. Chúng cung cấp tất cả chín axit amin thiết yếu và đặc biệt giàu choline cho sức khỏe não bộ và selen cho chức năng miễn dịch. Quá trình nấu ăn không cần thêm chất béo, duy trì mật độ dinh dưỡng của chúng đồng thời khiến chúng trở thành một lựa chọn thuận tiện để chuẩn bị bữa ăn, salad hoặc đồ ăn nhẹ, mặc dù hàm lượng cholesterol trong lòng đỏ có thể đảm bảo mức độ vừa phải cho một số kế hoạch ăn kiêng.",75
4e3894e2-21fb-5fad-b57f-8bb25d4e4109,,,Bơ thực phẩm / Bơ sữa (Butter),INGREDIENT,717.0,0.85,81.1,0.06,0.0,0.06,643.0,bef265e7-b8f4-4c9d-a8b3-c6c189ced1e8,,,"Bơ là một sản phẩm sữa được tạo ra bằng cách đánh kem để tách chất béo sữa khỏi bơ sữa lỏng. Chứa khoảng 80% chất béo sữa, nó cung cấp nguồn vitamin A, D và E tan trong chất béo dồi dào đồng thời chứa nhiều chất béo bão hòa và cholesterol. Chất phết bán rắn tan chảy thành chất lỏng màu vàng khi đun nóng, đóng vai trò là thành phần cơ bản trong làm bánh, làm nước sốt và làm chất tăng hương vị cho nhiều món ăn khác nhau.",75
372e978a-44ff-53bc-b6b0-dbcf4b4ed9ab,,,Bơ đậu phộng (Peanut Butter),INGREDIENT,606.0,22.3,52.2,21.4,6.0,10.5,418.0,bef265e7-b8f4-4c9d-a8b3-c6c189ced1e8,,,"Bơ đậu phộng là một loại bơ giàu protein được làm từ đậu phộng rang xay, được đánh giá cao nhờ sự kết hợp giữa chất béo không bão hòa đơn có lợi cho tim và chất xơ. Có sẵn ở dạng kem và giòn, các phiên bản tự nhiên chỉ chứa đậu phộng và muối, trong khi các loại thương mại thường kết hợp thêm đường hoặc dầu hydro hóa. Loại thực phẩm giàu chất dinh dưỡng này cung cấp năng lượng bền vững và không chứa gluten tự nhiên, mặc dù nó vẫn là một trong những chất gây dị ứng thực phẩm phổ biến nhất cần phải thận trọng trong chế độ ăn uống.",75
3dd2dc76-4785-5ad9-a3ee-a58e117fbf69,,,Bơ đậu phộng mịn (Smooth Peanut Butter),INGREDIENT,598.0,22.2,51.4,22.3,5.0,10.5,426.0,bef265e7-b8f4-4c9d-a8b3-c6c189ced1e8,,,"Bơ đậu phộng mịn là một loại bơ giàu protein được làm từ đậu phộng rang xay mịn, nổi bật bởi kết cấu đồng nhất không có miếng hạt. Loại thực phẩm có nguồn gốc từ thực vật này cung cấp đáng kể chất béo không bão hòa đơn và chất xơ, mặc dù mật độ calo của nó đòi hỏi phải chia khẩu phần hợp lý. Trong khi các phiên bản được chế biến tối thiểu chỉ chứa đậu phộng và muối, thì các phiên bản thương mại thường kết hợp thêm đường hoặc dầu hydro hóa làm thay đổi thành phần dinh dưỡng. Chất phết này đóng vai trò như một thành phần linh hoạt trong cả món ngọt và món mặn, đồng thời cung cấp năng lượng bền vững thông qua thành phần dinh dưỡng đa lượng cân bằng.",75
6ddc6910-8c32-577f-8f88-cab7d08995e1,,,"Cải Brussels xào dầu chín (Brussels Sprouts, Cooked in Oil)",DISH,66.0,3.0,3.8,7.0,3.0,2.0,40.0,bef265e7-b8f4-4c9d-a8b3-c6c189ced1e8,,,"Cải Brussels nấu trong dầu là một loại rau thuộc họ cải giàu chất dinh dưỡng được chế biến bằng cách rang, áp chảo hoặc áp chảo để tăng vị ngọt tự nhiên và tạo ra lớp vỏ ngoài caramen. Phương pháp nấu ăn này bổ sung thêm chất béo trong chế độ ăn trong khi vẫn giữ được hàm lượng vitamin C, vitamin K và chất xơ cao, mặc dù nó làm tăng mật độ calo so với hấp. Kết quả là những chiếc lá có viền sắc nét và lõi mềm, mang đến sự cân bằng thơm ngon giữa hương vị đất với hương vị hạt dẻ tinh tế.",75
765a8403-a07e-5e5a-a00c-793879d34177,,,Bắp rang bơ lò vi sóng ít béo (Low Fat Microwave Popcorn),DISH,424.0,12.0,9.5,73.6,14.2,0.5,400.0,bef265e7-b8f4-4c9d-a8b3-c6c189ced1e8,,,"Bỏng ngô bằng lò vi sóng ít chất béo là một món ăn nhẹ tiện lợi được làm bằng cách hâm nóng các loại hạt được đóng gói đặc biệt trong lò vi sóng, sử dụng các chất thay thế ít dầu hoặc bơ để cắt giảm hàm lượng chất béo từ 30-50% so với phiên bản thông thường. Mặc dù lượng calo thấp hơn nhưng nhiều loại lại bổ sung thêm muối hoặc hương liệu nhân tạo, khiến hàm lượng natri trở thành yếu tố quan trọng cần cân nhắc. Các túi được chia khẩu phần trước đảm bảo khẩu phần ăn nhất quán và cách chuẩn bị không lộn xộn, hấp dẫn những người đang kiểm soát cân nặng hoặc lượng chất béo bão hòa.",75
51e19002-dc60-5a46-b2a0-ded376395e6c,,,Bơ đậu phộng ít đường ít muối (Reduced Sugar and Sodium Peanut Butter),INGREDIENT,633.0,24.0,49.9,21.95,8.0,7.0,300.0,bef265e7-b8f4-4c9d-a8b3-c6c189ced1e8,,,"Bơ đậu phộng giảm đường và natri là một loại bơ được tối ưu hóa về mặt dinh dưỡng, duy trì kết cấu kem béo ngậy của bơ đậu phộng truyền thống với lượng đường và muối bổ sung ít hơn 30-50%. Phiên bản này thay thế đường tinh luyện bằng các chất thay thế như trái cây thầy tu hoặc cây stevia và sử dụng kali clorua hoặc muối natri giảm để đáp ứng nhu cầu ăn kiêng như quản lý bệnh tiểu đường hoặc kiểm soát huyết áp. Mặc dù ít ngọt và mặn hơn một chút so với các loại thông thường nhưng nó vẫn giữ được lượng protein, chất béo lành mạnh và tính linh hoạt để sử dụng trong cả công thức nấu ăn ngọt và mặn.",75
df4edc09-f5c3-579e-a70e-c2703cabfe03,,,Bánh quy bơ ngũ cốc (Multigrain Butter Crackers),INGREDIENT,482.0,7.1,20.4,67.6,3.5,12.0,883.0,bef265e7-b8f4-4c9d-a8b3-c6c189ced1e8,,,"Bánh quy bơ nhiều loại là một món ăn nhẹ nướng kết hợp nhiều loại ngũ cốc nguyên hạt như lúa mì, yến mạch và lúa mạch đen với bơ đậm đà để có kết cấu giòn, xốp. Hỗn hợp ngũ cốc của họ cung cấp nhiều chất xơ và protein từ thực vật hơn so với bánh quy giòn tiêu chuẩn, mặc dù chúng vẫn chứa nhiều calo do hàm lượng bơ. Thường có các hạt hoặc ngũ cốc có thể nhìn thấy được, những chiếc bánh quy giòn đa năng này kết hợp tốt với pho mát và nước chấm đồng thời mang lại hương vị thơm ngon, hơi hấp dẫn.",75
641fac43-ee70-58a4-9088-c6d541dff2e1,,,Bánh mì dẹt Naan phết bơ (Butter Naan),DISH,340.0,9.0,12.5,50.0,2.0,3.0,380.0,bef265e7-b8f4-4c9d-a8b3-c6c189ced1e8,,,"Bơ naan là một loại bánh mì dẹt có men của Ấn Độ được làm giàu với sữa chua hoặc men và được nướng theo kiểu truyền thống trong lò đất sét tandoor. Bên trong mềm, dai đặc trưng và bên ngoài phồng rộp như bơ là do được phết bơ sữa trâu hoặc bơ cả trước và sau khi nấu. Mặc dù ít chất xơ hơn bánh mì nguyên hạt, nhưng nó chứa hàm lượng chất béo đáng chú ý nhờ làm giàu chất xơ và thường được phục vụ như món ăn chủ yếu trong nhà hàng cùng với cà ri trong ẩm thực Nam Á.",75
a11d6203-6d6f-578f-81d6-e4d03c534e83,,,Bánh quy bơ ít muối (Reduced Sodium Butter Crackers),INGREDIENT,503.0,7.3,25.0,61.4,2.1,2.0,189.0,bef265e7-b8f4-4c9d-a8b3-c6c189ced1e8,,,"Bánh quy bơ giảm natri là một món ăn nhẹ nướng được làm từ bột mì và bơ được làm giàu, được sửa đổi để chứa ít natri hơn ít nhất 25% so với các phiên bản truyền thống. Quá trình làm giàu bổ sung thêm các chất dinh dưỡng như sắt và vitamin B, trong khi bơ góp phần tạo ra hương vị phong phú và kết cấu nhiều lớp. Mặc dù có hàm lượng muối thấp hơn nhưng những chiếc bánh quy này vẫn giữ được độ giòn và tính linh hoạt của bánh quy bơ thông thường, mang đến một lựa chọn thiết thực cho những người quản lý lượng natri mà không làm mất đi hương vị quen thuộc.",75
