id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
da84f209-9a5d-5257-a942-5b98bbf1ac2a,,,Chuối (Banana),INGREDIENT,89.0,1.09,0.33,22.8,2.6,12.2,1.0,ce0eea03-f333-4ddb-b8a7-ce39efaf437a,,,"Chuối là một loại trái cây nhiệt đới được nhận biết bởi hình dạng cong thon dài và vỏ màu vàng sáng phát triển các đốm nâu khi chín. Loại trái cây có vị ngọt tự nhiên này cung cấp nguồn năng lượng nhanh chóng thông qua carbohydrate dễ tiêu hóa, đồng thời đặc biệt giàu kali - một chất điện giải quan trọng cho chức năng cơ và thần kinh. Kết cấu kem mềm khi chín khiến nó trở thành món ăn nhẹ tiện lợi và là nguyên liệu phổ biến cho sinh tố, làm bánh và món tráng miệng đông lạnh, với những mẫu xanh hơn cung cấp nhiều tinh bột kháng hơn để giải phóng năng lượng chậm hơn.",90
3cd958d6-70e3-5151-bee0-385ecf4d1f91,,,Táo (Apples),INGREDIENT,52.0,0.26,0.17,13.8,2.4,10.4,1.0,ce0eea03-f333-4ddb-b8a7-ce39efaf437a,,,"Táo là một loại trái cây thuộc họ hoa hồng được trồng rộng rãi, có hàng nghìn loại từ ngọt đến chua. Thịt giòn của chúng cung cấp chất xơ (đặc biệt là pectin) và vitamin C, với hầu hết các chất dinh dưỡng tập trung ở vỏ. Loại trái cây có hàm lượng calo thấp này thường được ăn sống còn nguyên vỏ, mặc dù nó cũng được dùng như một nguyên liệu linh hoạt trong cả các món ngọt và món mặn.",90
4bbf12a7-ae27-5cc8-8e29-14f3d8986e31,,,Táo Gala (Gala Apples),INGREDIENT,57.0,0.25,0.12,13.7,2.3,10.4,1.0,ce0eea03-f333-4ddb-b8a7-ce39efaf437a,,,"Táo Gala là một giống táo có vị ngọt, giòn ban đầu được phát triển ở New Zealand, được nhận biết bởi vỏ màu vàng cam với các sọc đỏ. Loại táo này có mùi thơm hoa dịu nhẹ và độ axit thấp hơn so với táo chua như Granny Smith, khiến nó đặc biệt phổ biến để ăn sống và đồ ăn nhẹ cho trẻ em. Với hàm lượng chất xơ vừa phải và vỏ mỏng ăn được, Galas tươi mang đến lựa chọn trái cây cầm tay tiện lợi mà vẫn giữ được kết cấu chắc chắn khi nướng hoặc cắt lát làm món salad.",90
b846d6ea-b7e5-5759-9a27-194763a4134a,,,Táo Fuji (Fuji Apples),INGREDIENT,63.0,0.2,0.18,15.2,2.1,11.7,1.0,ce0eea03-f333-4ddb-b8a7-ce39efaf437a,,,"Táo Fuji là một giống táo giòn, ngọt được phát triển ở Nhật Bản từ sự lai tạo giữa giống Red Delicious và Ralls Janet. Đặc trưng bởi vị ngọt cân bằng giống như mật ong và thịt đặc biệt ngon ngọt, những quả táo này có vỏ dày màu hồng đỏ với các vệt màu vàng và duy trì kết cấu chắc chắn ngay cả khi chín hoàn toàn. Hàm lượng đường tự nhiên cao và chất xơ đáng kể khiến chúng trở nên phổ biến để ăn tươi, đồng thời độ bền của chúng rất phù hợp để làm hộp cơm trưa và các ứng dụng thô.",90
d05582fa-d020-5e1c-9cf3-0e3f0fe857b4,,,Chanh xanh (Lime),INGREDIENT,30.0,0.7,0.2,10.5,2.8,1.69,2.0,ce0eea03-f333-4ddb-b8a7-ce39efaf437a,,,"Vôi là một loại trái cây họ cam quýt nhỏ có đặc điểm là màu xanh tươi, vị chua đậm và nồng độ vitamin C cao. Có tính axit cao hơn chanh, nước cốt chanh tươi và vỏ là những yếu tố cơ bản để cân bằng hương vị trong các món ăn Mexico, Thái Lan và Việt Nam. Tinh dầu của trái cây có chứa chất chống oxy hóa như limonene, trong khi lượng calo thấp khiến nó trở thành chất tăng hương vị phổ biến trong cả công thức nấu ăn mặn và cocktail.",90
12efcbc6-7608-5825-b52b-b66b2c0dc139,,,Đào (Peach),INGREDIENT,39.0,0.91,0.25,9.54,1.5,8.39,0.0,ce0eea03-f333-4ddb-b8a7-ce39efaf437a,,,"Đào là một loại trái cây mọng nước có đặc điểm là lớp vỏ mịn như nhung và thịt ngọt, thơm từ màu trắng đến vàng cam. Loại trái cây mùa hè này cung cấp vitamin C để hỗ trợ miễn dịch và vitamin A cho sức khỏe của mắt, đồng thời hàm lượng nước cao góp phần hydrat hóa. Đào tươi thường được ăn sống, nướng hoặc nướng trong món tráng miệng, cung cấp lượng đường tự nhiên được cân bằng với 2 gam chất xơ trên mỗi quả vừa để hỗ trợ sức khỏe tiêu hóa.",90
31df9d10-e130-5b53-bda3-dec75840a0bc,,,"Đào đóng hộp (Peaches in Juice, Canned)",DISH,44.0,0.63,0.03,11.6,1.3,10.3,4.0,ce0eea03-f333-4ddb-b8a7-ce39efaf437a,,,"Đào trong nước ép, đóng hộp được bảo quản trong nước ép trái cây tự nhiên thay vì xi-rô đậm đặc, mang lại vị ngọt nhẹ hơn trong khi vẫn duy trì hàm lượng vitamin C và chất xơ. Quá trình đóng hộp làm mềm kết cấu của trái cây so với đào tươi, tạo ra những phần mềm lý tưởng cho món ăn nhẹ hoặc món tráng miệng phủ trên. Định dạng ổn định khi bảo quản này giúp bạn tiếp cận thuận tiện các chất dinh dưỡng đào quanh năm với lượng đường bổ sung ít hơn đáng kể so với các loại đóng gói bằng xi-rô.",75
4b180c36-6af9-5be8-83dc-66db4cf21b03,,,Đào vàng (Yellow Peach),INGREDIENT,40.0,0.9,0.25,9.54,1.7,8.3,0.0,ce0eea03-f333-4ddb-b8a7-ce39efaf437a,,,"Đào vàng là một loại trái cây có vị ngọt được nhận biết bởi thịt màu vàng vàng, vỏ mịn như nhung và hương vị ngọt ngào đặc trưng. Loại đào này có độ axit cao hơn và độ mọng nước rõ rệt hơn so với đào trắng, đồng thời cung cấp lượng vitamin C, vitamin A và chất xơ đáng chú ý tập trung ở vỏ ăn được. Thường được thưởng thức tươi vào mùa trong những tháng hè, đào vàng cũng được sử dụng rộng rãi trong nướng, bảo quản và chế biến trái cây nướng do kết cấu đậm đà và độ ngọt cân bằng của chúng.",90
813a0502-5206-58a9-8ad6-e34bdda7a8ed,,,Xoài Tommy Atkins (Tommy Atkins Mango),INGREDIENT,68.5,0.56,0.57,15.3,1.75,10.7,0.0,ce0eea03-f333-4ddb-b8a7-ce39efaf437a,,,"Xoài Tommy Atkins là giống xoài chiếm ưu thế về mặt thương mại được công nhận bởi vỏ màu xanh đỏ rực rỡ và hình bầu dục. Mặc dù ít ngọt hơn các giống xoài khác nhưng nó mang lại hương vị ngọt nhẹ với kết cấu hơi xơ và cung cấp một lượng đáng kể vitamin A và C, folate và chất xơ. Được đánh giá cao về độ bền và thời hạn sử dụng lâu, loại này được sử dụng rộng rãi ở dạng tươi trong món salad, sinh tố và salsa, cũng như chế biến thành nước trái cây và đồ ăn nhẹ khô.",90
1a8cd685-0cfe-5fc6-957f-fee8ed5030b6,,,Cam Valencia (Valencia Orange),INGREDIENT,49.0,1.04,0.3,11.9,2.5,9.0,0.0,ce0eea03-f333-4ddb-b8a7-ce39efaf437a,,,"Cam Valencia là một loại trái cây họ cam quýt ngọt được đánh giá cao vì cùi đặc biệt mọng nước và vỏ mỏng, dễ bóc, khiến nó trở thành loại nước ép tươi được ưa chuộng. Loại cam cuối mùa này thường chín vào mùa xuân đến mùa hè, muộn hơn so với các giống cam thông thường và cung cấp vitamin C đáng kể cùng với lượng folate và kali đáng chú ý. Vị ngọt cân bằng với độ axit tinh tế khiến nó thích hợp để ăn tươi hoặc sử dụng trong các công thức nấu ăn yêu cầu hương vị cam quýt tươi sáng.",90
